t,I
0.802242741,0.382507
0.799673545,0.377167
0.797128876,0.377563
0.794608345,0.374512
0.792111574,0.371155
0.789638192,0.371857
0.787187836,0.36734
0.78476015,0.366821
0.782354788,0.364105
0.779971408,0.360504
0.77760968,0.361176
0.775269275,0.356476
0.772949877,0.356384
0.770651172,0.354004
0.768372854,0.350677
0.766114624,0.351868
0.763876188,0.347382
0.761657259,0.347168
0.759457555,0.34549
0.757276801,0.341888
0.755114725,0.343109
0.752971062,0.338013
0.750845554,0.338745
0.748737944,0.337677
0.746647983,0.333923
0.744575426,0.334808
0.742520033,0.330353
0.740481568,0.330872
0.7384598,0.329132
0.736454503,0.325867
0.734465453,0.326996
0.732492434,0.322815
0.73053523,0.323639
0.728593631,0.321838
0.726667432,0.318909
0.72475643,0.320282
0.722860425,0.315887
0.720979223,0.316589
0.719112632,0.314667
0.717260464,0.312073
0.715422534,0.313507
0.713598661,0.309479
0.711788666,0.310303
0.709992375,0.309174
0.708209615,0.305664
0.706440217,0.307068
0.704684015,0.302979
0.702940846,0.304016
0.70121055,0.303314
0.699492968,0.299622
0.697787947,0.302765
0.696095332,0.298096
0.694414976,0.298218
0.69274673,0.296997
0.69109045,0.294495
0.689445994,0.296051
0.687813221,0.292053
0.686191993,0.293152
0.684582176,0.291382
0.682983636,0.28894
0.681396242,0.290924
0.679819865,0.286682
0.678254378,0.28772
0.676699657,0.286896
0.675155578,0.284485
0.673622021,0.286316
0.672098867,0.281708
0.670585998,0.282806
0.6690833,0.28183
0.667590659,0.279114
0.666107963,0.281067
0.664635103,0.277618
0.66317197,0.279907
0.661718457,0.277405
0.66027446,0.274597
0.658839874,0.2771
0.6574146,0.273407
0.655998535,0.274323
0.654591582,0.273376
0.653193643,0.27063
0.651804621,0.272491
0.650424424,0.268616
0.649052958,0.269958
0.64769013,0.268341
0.646335851,0.266968
0.644990032,0.268738
0.643652586,0.264526
0.642323424,0.266174
0.641002463,0.264923
0.639689619,0.263031
0.638384808,0.264374
0.637087949,0.261444
0.635798962,0.262543
0.634517767,0.261261
0.633244287,0.259369
0.631978443,0.261658
0.63072016,0.257233
0.629469363,0.25882
0.628225978,0.257996
0.626989933,0.256134
0.625761155,0.257904
0.624539573,0.253754
0.623325117,0.255615
0.622117719,0.254639
0.620917309,0.252686
0.619723822,0.254669
0.618537191,0.250946
0.61735735,0.252716
0.616184235,0.251648
0.615017782,0.248413
0.613857929,0.250702
0.612704612,0.24704
0.611557773,0.248627
0.610417349,0.247772
0.609283281,0.245514
0.60815551,0.248291
0.607033979,0.244446
0.60591863,0.245789
0.604809407,0.245575
0.603706253,0.243622
0.602609113,0.245239
0.601517934,0.241669
0.60043266,0.243835
0.59935324,0.241852
0.59827962,0.239716
0.59721175,0.242065
0.596149577,0.238739
0.595093051,0.240326
0.594042123,0.239044
0.592996743,0.237274
0.591956863,0.239899
0.590922434,0.23584
0.589893409,0.238373
0.588869741,0.237183
0.587851384,0.235016
0.586838293,0.236572
0.585830421,0.233032
0.584827724,0.235474
0.583830158,0.234161
0.582837679,0.232513
0.581850245,0.234558
0.580867813,0.231079
0.57989034,0.233734
0.578917786,0.233063
0.577950108,0.230347
0.576987267,0.232727
0.576029222,0.227936
0.575075933,0.230652
0.574127362,0.228851
0.573183469,0.227997
0.572244216,0.230255
0.571309566,0.225952
0.57037948,0.22818
0.569453922,0.227112
0.568532855,0.22467
0.567616244,0.227692
0.566704051,0.223724
0.565796242,0.22644
0.564892782,0.224396
0.563993636,0.223541
0.56309877,0.225708
0.56220815,0.222076
0.561321742,0.223236
0.560439515,0.222809
0.559561433,0.220978
0.558687467,0.223419
0.557817582,0.219147
0.556951748,0.221527
0.556089934,0.22052
0.555232108,0.218323
0.554378239,0.221039
0.553528298,0.216827
0.552682254,0.219086
0.551840078,0.218658
0.55100174,0.216187
0.550167211,0.219604
0.549336462,0.215607
0.548509466,0.218353
0.547686193,0.216797
0.546866616,0.214722
0.546050708,0.217621
0.54523844,0.213165
0.544429787,0.214813
0.543624721,0.214203
0.542823216,0.212341
0.542025245,0.214691
0.541230784,0.211426
0.540439805,0.213074
0.539652285,0.212494
0.538868197,0.210114
0.538087517,0.212952
0.53731022,0.209808
0.536536282,0.21109
0.535765679,0.209991
0.534998386,0.208588
0.534234381,0.21106
0.533473639,0.207001
0.532716139,0.20932
0.531961855,0.208557
0.531210767,0.206299
0.530462852,0.210052
0.529718086,0.205017
0.528976449,0.207977
0.528237918,0.206635
0.527502471,0.204895
0.526770088,0.207275
0.526040747,0.203918
0.525314427,0.205627
0.524591107,0.204956
0.523870767,0.203278
0.523153387,0.205841
0.522438945,0.202209
0.521727422,0.203949
0.521018799,0.203125
0.520313055,0.201385
0.519610172,0.203857
0.518910129,0.200714
0.518212908,0.202972
0.51751849,0.201904
0.516826856,0.200104
0.516137987,0.202576
0.515451866,0.19873
0.514768474,0.201233
0.514087793,0.199646
0.513409805,0.198273
0.512734492,0.200684
0.512061837,0.196808
0.511391822,0.199493
0.510724431,0.198212
0.510059646,0.196381
0.50939745,0.199463
0.508737827,0.195251
0.508080759,0.197327
0.507426231,0.197144
0.506774226,0.195557
0.506124727,0.19809
0.50547772,0.193634
0.504833187,0.196045
0.504191114,0.195709
0.503551485,0.193176
0.502914283,0.196167
0.502279495,0.193176
0.501647104,0.194611
0.501017096,0.193848
0.500389455,0.191956
0.499764168,0.195038
0.499141218,0.191345
0.498520593,0.193207
0.497902276,0.192505
0.497286255,0.191254
0.496672514,0.192871
0.496061041,0.189331
0.49545182,0.192078
0.494844838,0.191467
0.494240082,0.189056
0.493637537,0.192322
0.493037191,0.188629
0.49243903,0.190674
0.491843041,0.189697
0.49124921,0.187653
0.490657525,0.191376
0.490067973,0.18692
0.489480542,0.189056
0.488895217,0.188629
0.488311987,0.186401
0.48773084,0.189362
0.487151762,0.18573
0.486574743,0.188263
0.485999768,0.187073
0.485426828,0.184875
0.484855908,0.188629
0.484286999,0.185547
0.483720087,0.18689
0.483155162,0.186066
0.482592211,0.184235
0.482031224,0.186646
0.481472188,0.183105
0.480915093,0.185699
0.480359927,0.184418
0.47980668,0.183105
0.479255339,0.185394
0.478705895,0.182159
0.478158337,0.183868
0.477612652,0.183197
0.477068832,0.18161
0.476526866,0.184021
0.475986742,0.18103
0.475448451,0.183441
0.474911981,0.182434
0.474377324,0.180573
0.473844469,0.182983
0.473313405,0.179779
0.472784122,0.182373
0.472256611,0.180939
0.471730862,0.179779
0.471206865,0.182068
0.470684611,0.178406
0.470164089,0.180481
0.46964529,0.179596
0.469128204,0.178528
0.468612823,0.181244
0.468099137,0.17749
0.467587136,0.179779
0.467076812,0.178772
0.466568155,0.176849
0.466061156,0.179718
0.465555807,0.17627
0.465052097,0.178314
0.464550019,0.177155
0.464049564,0.175323
0.463550723,0.178223
0.463053487,0.175201
0.462557848,0.177185
0.462063796,0.176392
0.461571325,0.17511
0.461080425,0.177246
0.460591088,0.173279
0.460103305,0.176361
0.459617069,0.174927
0.459132371,0.173889
0.458649204,0.176575
0.458167558,0.172821
0.457687427,0.175385
0.457208802,0.174469
0.456731676,0.172424
0.45625604,0.174988
0.455781887,0.172089
0.455309209,0.174591
0.454837999,0.173523
0.454368248,0.1716
0.453899951,0.174011
0.453433098,0.170837
0.452967683,0.173248
0.452503698,0.17218
0.452041135,0.170807
0.451579989,0.173676
0.451120251,0.169617
0.450661914,0.172333
0.450204972,0.171631
0.449749416,0.169952
0.449295241,0.172455
0.448842438,0.16864
0.448391002,0.171204
0.447940926,0.170197
0.447492202,0.168945
0.447044824,0.171631
0.446598785,0.168152
0.446154078,0.170502
0.445710697,0.168915
0.445268636,0.167725
0.444827887,0.170837
0.444388445,0.166107
0.443950302,0.168976
0.443513453,0.168213
0.44307789,0.167267
0.442643609,0.169586
0.442210602,0.165466
0.441778863,0.168579
0.441348386,0.167297
0.440919165,0.166107
0.440491194,0.168396
0.440064467,0.164642
0.439638978,0.167206
0.43921472,0.166687
0.438791689,0.165619
0.438369877,0.16748
0.43794928,0.163879
0.43752989,0.166687
0.437111704,0.165375
0.436694714,0.163513
0.436278915,0.167236
0.435864302,0.163422
0.435450868,0.165527
0.435038609,0.164978
0.434627518,0.163361
0.434217591,0.166382
0.433808821,0.161926
0.433401204,0.165466
0.432994734,0.163452
0.432589404,0.162964
0.432185212,0.165314
0.43178215,0.161469
0.431380213,0.163513
0.430979397,0.162933
0.430579696,0.161102
0.430181106,0.164398
0.42978362,0.160583
0.429387234,0.162933
0.428991942,0.162933
0.428597741,0.160461
0.428204624,0.164032
0.427812586,0.159821
0.427421624,0.16217
0.427031731,0.161346
0.426642904,0.160065
0.426255137,0.162811
0.425868425,0.159515
0.425482763,0.161285
0.425098148,0.1604
0.424714574,0.159027
0.424332036,0.16217
0.42395053,0.157867
0.423570051,0.160675
0.423190594,0.159821
0.422812156,0.158295
0.422434731,0.161011
0.422058315,0.15741
0.421682903,0.159821
0.421308492,0.158813
0.420935076,0.157684
0.420562651,0.160065
0.420191213,0.156464
0.419820757,0.159485
0.41945128,0.158142
0.419082776,0.15686
0.418715242,0.159912
0.418348673,0.156311
0.417983065,0.158539
0.417618414,0.157227
0.417254715,0.156067
0.416891966,0.158752
0.41653016,0.155304
0.416169295,0.157471
0.415809367,0.157318
0.41545037,0.155273
0.415092302,0.158081
0.414735158,0.154663
0.414378935,0.156921
0.414023627,0.155701
0.413669232,0.154663
0.413315746,0.157471
0.412963164,0.153564
0.412611483,0.157257
0.412260699,0.155365
0.411910808,0.154327
0.411561807,0.157684
0.411213691,0.153168
0.410866457,0.155762
0.410520101,0.154785
0.410174619,0.153809
0.409830008,0.156097
0.409486265,0.152557
0.409143385,0.155701
0.408801365,0.154053
0.408460201,0.153259
0.408119889,0.155914
0.407780427,0.152313
0.407441811,0.15448
0.407104037,0.153442
0.406767101,0.151581
0.406431001,0.154633
0.406095732,0.150757
0.405761292,0.152893
0.405427677,0.152863
0.405094883,0.151398
0.404762908,0.154083
0.404431747,0.149994
0.404101397,0.153351
0.403771856,0.15155
0.40344312,0.150787
0.403115186,0.153168
0.40278805,0.15036
0.402461708,0.152283
0.402136159,0.151367
0.401811399,0.150299
0.401487424,0.151917
0.401164232,0.149139
0.400841819,0.151672
0.400520181,0.151031
0.400199317,0.14917
0.399879223,0.152557
0.399559896,0.148438
0.399241332,0.150513
0.39892353,0.149628
0.398606485,0.148987
0.398290194,0.151245
0.397974656,0.147858
0.397659866,0.150391
0.397345822,0.149689
0.39703252,0.148102
0.396719959,0.15094
0.396408135,0.146973
0.396097045,0.150116
0.395786686,0.14917
0.395477056,0.147156
0.395168151,0.150085
0.394859968,0.146515
0.394552506,0.148987
0.394245761,0.148071
0.39393973,0.146271
0.393634411,0.149384
0.3933298,0.145691
0.393025896,0.148529
0.392722695,0.148041
0.392420194,0.146423
0.392118392,0.148865
0.391817285,0.144836
0.39151687,0.148193
0.391217145,0.146606
0.390918108,0.145538
0.390619755,0.14856
0.390322085,0.14444
0.390025094,0.147369
0.389728779,0.145599
0.38943314,0.145081
0.389138171,0.147797
0.388843873,0.144135
0.38855024,0.146271
0.388257272,0.145508
0.387964966,0.144867
0.387673319,0.147339
0.387382329,0.143677
0.387091993,0.146423
0.386802308,0.145721
0.386513274,0.144745
0.386224886,0.147308
0.385937142,0.14328
0.385650041,0.145538
0.38536358,0.144623
0.385077756,0.143677
0.384792567,0.146484
0.384508011,0.142303
0.384224085,0.144897
0.383940787,0.144287
0.383658115,0.142731
0.383376066,0.144806
0.383094639,0.141937
0.38281383,0.144653
0.382533638,0.143005
0.38225406,0.142273
0.381975095,0.145386
0.381696739,0.141632
0.381418991,0.144073
0.381141848,0.142731
0.380865309,0.141937
0.38058937,0.144226
0.380314031,0.140961
0.380039288,0.144226
0.37976514,0.142395
0.379491584,0.141113
0.379218619,0.144073
0.378946242,0.140198
0.37867445,0.143097
0.378403243,0.141815
0.378132618,0.140747
0.377862572,0.14328
0.377593105,0.139801
0.377324212,0.142059
0.377055894,0.140808
0.376788147,0.140045
0.37652097,0.143036
0.37625436,0.139465
0.375988316,0.141907
0.375722835,0.140564
0.375457916,0.139893
0.375193556,0.142578
0.374929755,0.139221
0.374666508,0.141144
0.374403816,0.140717
0.374141675,0.139069
0.373880084,0.141663
0.373619041,0.138336
0.373358544,0.140564
0.373098592,0.13974
0.372839181,0.138275
0.372580311,0.141418
0.372321979,0.137756
0.372064184,0.140289
0.371806923,0.139954
0.371550196,0.138367
0.371293999,0.140717
0.371038332,0.137695
0.370783192,0.140198
0.370528578,0.13913
0.370274488,0.137512
0.370020919,0.140076
0.369767871,0.136597
0.369515342,0.139587
0.369263329,0.138611
0.36901183,0.137115
0.368760846,0.139221
0.368510372,0.135437
0.368260408,0.138458
0.368010952,0.137848
0.367762003,0.136047
0.367513558,0.139313
0.367265616,0.135681
0.367018175,0.13855
0.366771233,0.137451
0.366524789,0.136414
0.366278842,0.138763
0.366033388,0.135162
0.365788428,0.137817
0.365543959,0.136322
0.365299979,0.135559
0.365056487,0.138336
0.364813481,0.135101
0.36457096,0.137482
0.364328922,0.135742
0.364087366,0.135376
0.363846289,0.13797
0.36360569,0.134369
0.363365568,0.137146
0.363125922,0.135651
0.362886749,0.134766
0.362648047,0.137939
0.362409816,0.133789
0.362172055,0.136078
0.36193476,0.135864
0.361697931,0.134094
0.361461567,0.137024
0.361225665,0.133331
0.360990225,0.135529
0.360755244,0.135345
0.360520722,0.134155
0.360286656,0.136108
0.360053046,0.133118
0.359819889,0.135712
0.359587185,0.134308
0.359354932,0.133453
0.359123128,0.135864
0.358891772,0.132507
0.358660863,0.134888
0.358430399,0.133667
0.358200379,0.132904
0.357970801,0.135925
0.357741663,0.131653
0.357512966,0.134155
0.357284706,0.133575
0.357056883,0.132172
0.356829495,0.135162
0.356602541,0.131012
0.35637602,0.134338
0.356149929,0.133453
0.355924269,0.132141
0.355699037,0.134308
0.355474231,0.130951
0.355249852,0.133453
0.355025897,0.132904
0.354802365,0.131348
0.354579255,0.134491
0.354356565,0.130096
0.354134294,0.133759
0.35391244,0.132294
0.353691004,0.131042
0.353469982,0.133423
0.353249374,0.129974
0.353029179,0.133026
0.352809395,0.132019
0.352590021,0.130829
0.352371056,0.133026
0.352152498,0.129822
0.351934346,0.132751
0.351716599,0.131195
0.351499256,0.130432
0.351282315,0.132874
0.351065776,0.129425
0.350849636,0.132141
0.350633895,0.130981
0.350418552,0.129669
0.350203605,0.132507
0.349989053,0.128998
0.349774895,0.131439
0.349561129,0.130981
0.349347755,0.129822
0.349134771,0.132141
0.348922177,0.128845
0.34870997,0.130524
0.34849815,0.129852
0.348286715,0.128876
0.348075665,0.132355
0.347864998,0.128326
0.347654713,0.131104
0.347444809,0.129272
0.347235284,0.128754
0.347026139,0.131104
0.34681737,0.127808
0.346608978,0.130524
0.346400962,0.129028
0.346193319,0.128296
0.345986049,0.130341
0.345779151,0.127625
0.345572624,0.129883
0.345366467,0.128723
0.345160678,0.127441
0.344955256,0.130127
0.344750201,0.126617
0.344545511,0.129547
0.344341185,0.128174
0.344137222,0.127258
0.343933621,0.130188
0.343730382,0.125946
0.343527502,0.129883
0.34332498,0.128235
0.343122817,0.127045
0.34292101,0.129822
0.342719559,0.126251
0.342518463,0.128876
0.34231772,0.127777
0.34211733,0.126709
0.341917291,0.129211
0.341717603,0.125275
0.341518264,0.128357
0.341319274,0.126617
0.341120631,0.126495
0.340922334,0.128876
0.340724383,0.125214
0.340526776,0.128815
0.340329513,0.126862
0.340132592,0.126007
0.339936013,0.128754
0.339739774,0.125153
0.339543874,0.127533
0.339348313,0.126099
0.339153089,0.12558
0.338958202,0.128021
0.338763651,0.125122
0.338569434,0.127716
0.338375551,0.125946
0.338182001,0.12561
0.337988782,0.127747
0.337795894,0.124481
0.337603336,0.126526
0.337411107,0.126129
0.337219206,0.124115
0.337027632,0.127441
0.336836384,0.12442
0.336645461,0.126282
0.336454863,0.124969
0.336264587,0.123688
0.336074635,0.126678
0.335885004,0.123383
0.335695693,0.12616
0.335506703,0.125092
0.335318031,0.12381
0.335129677,0.125885
0.33494164,0.123047
0.334753919,0.125671
0.334566514,0.12439
0.334379423,0.123169
0.334192645,0.126129
0.33400618,0.123108
0.333820027,0.124695
0.333634185,0.123718
