V_1,I_1,V_2,I_2,V_3,I_3,V_4,I_4
-0.122070313,-4.38965E-06,-0.122070313,-4.17694E-06,-0.122070313,-4.04724E-06,-0.122070313,-4.11224E-06
-0.124511719,-4.38019E-06,-0.124511719,-4.16962E-06,-0.124511719,-4.04327E-06,-0.124511719,-4.11469E-06
-0.126953125,-4.37073E-06,-0.126953125,-4.16168E-06,-0.126953125,-4.03961E-06,-0.126953125,-4.11407E-06
-0.129394531,-4.35883E-06,-0.129394531,-4.15039E-06,-0.129394531,-4.03442E-06,-0.129394531,-4.11224E-06
-0.131835938,-4.34662E-06,-0.131835938,-4.14185E-06,-0.131835938,-4.02893E-06,-0.131835938,-4.11102E-06
-0.134277344,-4.33411E-06,-0.134277344,-4.13208E-06,-0.134277344,-4.02191E-06,-0.134277344,-4.1095E-06
-0.13671875,-4.32068E-06,-0.13671875,-4.12018E-06,-0.13671875,-4.01459E-06,-0.13671875,-4.10492E-06
-0.139160156,-4.30664E-06,-0.139160156,-4.10889E-06,-0.139160156,-4.00543E-06,-0.139160156,-4.10095E-06
-0.141601563,-4.29169E-06,-0.141601563,-4.09607E-06,-0.141601563,-3.99658E-06,-0.141601563,-4.09546E-06
-0.144042969,-4.27765E-06,-0.144042969,-4.08356E-06,-0.144042969,-3.98621E-06,-0.144042969,-4.08997E-06
-0.146484375,-4.26239E-06,-0.146484375,-4.06921E-06,-0.146484375,-3.97614E-06,-0.146484375,-4.08569E-06
-0.148925781,-4.24469E-06,-0.148925781,-4.05579E-06,-0.148925781,-3.96484E-06,-0.148925781,-4.07745E-06
-0.151367188,-4.22852E-06,-0.151367188,-4.04175E-06,-0.151367188,-3.95203E-06,-0.151367188,-4.07074E-06
-0.153808594,-4.21173E-06,-0.153808594,-4.02649E-06,-0.153808594,-3.93921E-06,-0.153808594,-4.06372E-06
-0.15625,-4.19403E-06,-0.15625,-4.01276E-06,-0.15625,-3.9267E-06,-0.15625,-4.05457E-06
-0.158691406,-4.17694E-06,-0.158691406,-3.99567E-06,-0.158691406,-3.91266E-06,-0.158691406,-4.0451E-06
-0.161132813,-4.16077E-06,-0.161132813,-3.98102E-06,-0.161132813,-3.89923E-06,-0.161132813,-4.03442E-06
-0.163574219,-4.14429E-06,-0.163574219,-3.96667E-06,-0.163574219,-3.88702E-06,-0.163574219,-4.02374E-06
-0.166015625,-4.1272E-06,-0.166015625,-3.95081E-06,-0.166015625,-3.8739E-06,-0.166015625,-4.01245E-06
-0.168457031,-4.11072E-06,-0.168457031,-3.93738E-06,-0.168457031,-3.86108E-06,-0.168457031,-4.00024E-06
-0.170898438,-4.09515E-06,-0.170898438,-3.92242E-06,-0.170898438,-3.84644E-06,-0.170898438,-3.99017E-06
-0.173339844,-4.07898E-06,-0.173339844,-3.90839E-06,-0.173339844,-3.83331E-06,-0.173339844,-3.97949E-06
-0.17578125,-4.0625E-06,-0.17578125,-3.89282E-06,-0.17578125,-3.82019E-06,-0.17578125,-3.9679E-06
-0.178222656,-4.04633E-06,-0.178222656,-3.88031E-06,-0.178222656,-3.80737E-06,-0.178222656,-3.95721E-06
-0.180664063,-4.02954E-06,-0.180664063,-3.86658E-06,-0.180664063,-3.79242E-06,-0.180664063,-3.94531E-06
-0.183105469,-4.01306E-06,-0.183105469,-3.85193E-06,-0.183105469,-3.7793E-06,-0.183105469,-3.93616E-06
-0.185546875,-3.99689E-06,-0.185546875,-3.8382E-06,-0.185546875,-3.76678E-06,-0.185546875,-3.92456E-06
-0.187988281,-3.98071E-06,-0.187988281,-3.82416E-06,-0.187988281,-3.75275E-06,-0.187988281,-3.91418E-06
-0.190429688,-3.96362E-06,-0.190429688,-3.80981E-06,-0.190429688,-3.73901E-06,-0.190429688,-3.90198E-06
-0.192871094,-3.94806E-06,-0.192871094,-3.79547E-06,-0.192871094,-3.72559E-06,-0.192871094,-3.89221E-06
-0.1953125,-3.9325E-06,-0.1953125,-3.78235E-06,-0.1953125,-3.71094E-06,-0.1953125,-3.87939E-06
-0.197753906,-3.91724E-06,-0.197753906,-3.76831E-06,-0.197753906,-3.69781E-06,-0.197753906,-3.86719E-06
-0.200195313,-3.90381E-06,-0.200195313,-3.75519E-06,-0.200195313,-3.685E-06,-0.200195313,-3.8562E-06
-0.202636719,-3.88855E-06,-0.202636719,-3.74207E-06,-0.202636719,-3.67279E-06,-0.202636719,-3.8443E-06
-0.205078125,-3.87512E-06,-0.205078125,-3.72925E-06,-0.205078125,-3.66028E-06,-0.205078125,-3.83301E-06
-0.207519531,-3.85956E-06,-0.207519531,-3.71613E-06,-0.207519531,-3.64746E-06,-0.207519531,-3.81989E-06
-0.209960938,-3.84613E-06,-0.209960938,-3.70361E-06,-0.209960938,-3.63525E-06,-0.209960938,-3.80981E-06
-0.212402344,-3.83087E-06,-0.212402344,-3.6911E-06,-0.212402344,-3.62457E-06,-0.212402344,-3.79852E-06
-0.21484375,-3.81714E-06,-0.21484375,-3.68073E-06,-0.21484375,-3.61298E-06,-0.21484375,-3.78906E-06
-0.217285156,-3.80219E-06,-0.217285156,-3.66699E-06,-0.217285156,-3.60046E-06,-0.217285156,-3.77869E-06
-0.219726563,-3.78754E-06,-0.219726563,-3.6554E-06,-0.219726563,-3.58948E-06,-0.219726563,-3.76801E-06
-0.222167969,-3.77228E-06,-0.222167969,-3.64288E-06,-0.222167969,-3.57697E-06,-0.222167969,-3.76038E-06
-0.224609375,-3.75885E-06,-0.224609375,-3.63129E-06,-0.224609375,-3.56476E-06,-0.224609375,-3.75061E-06
-0.227050781,-3.74451E-06,-0.227050781,-3.61816E-06,-0.227050781,-3.55225E-06,-0.227050781,-3.73962E-06
-0.229492188,-3.73047E-06,-0.229492188,-3.60565E-06,-0.229492188,-3.54095E-06,-0.229492188,-3.73138E-06
-0.231933594,-3.71674E-06,-0.231933594,-3.59436E-06,-0.231933594,-3.52905E-06,-0.231933594,-3.71979E-06
-0.234375,-3.70422E-06,-0.234375,-3.58337E-06,-0.234375,-3.51868E-06,-0.234375,-3.70911E-06
-0.236816406,-3.69171E-06,-0.236816406,-3.57239E-06,-0.236816406,-3.508E-06,-0.236816406,-3.69873E-06
