t,I
0.391066913,2.10602
0.39076822,2.10632
0.39047021,2.10236
0.390172881,2.10419
0.38987623,2.09991
0.389580254,2.0993
0.389284952,2.099
0.38899032,2.09473
0.388696357,2.09625
0.388403058,2.09259
0.388110423,2.09045
0.387818448,2.09167
0.387527131,2.0871
0.387236469,2.08862
0.386946461,2.08466
0.386657103,2.08374
0.386368393,2.08435
0.386080329,2.07916
0.385792909,2.0813
0.385506129,2.07794
0.385219988,2.07611
0.384934483,2.07733
0.384649612,2.07153
0.384365373,2.07397
0.384081763,2.07031
0.383798779,2.06909
0.383516421,2.0694
0.383234684,2.06451
0.382953568,2.06696
0.382673069,2.0636
0.382393186,2.06146
0.382113915,2.06238
0.381835256,2.0578
0.381557206,2.05902
0.381279762,2.05627
0.381002923,2.05475
0.380726685,2.05566
0.380451048,2.05048
0.380176008,2.05292
0.379901564,2.04865
0.379627714,2.04803
0.379354455,2.04834
0.379081785,2.04346
0.378809702,2.04529
0.378538204,2.04163
0.37826729,2.04102
0.377996956,2.04163
0.3777272,2.03735
0.377458022,2.03918
0.377189418,2.03522
0.376921387,2.0343
0.376653926,2.03461
0.376387034,2.03094
0.376120709,2.03217
0.375854948,2.02789
0.375589749,2.02759
0.375325111,2.0282
0.375061032,2.02393
0.374797509,2.02576
0.374534541,2.02209
0.374272126,2.02057
0.374010262,2.02148
0.373748946,2.01691
0.373488178,2.01935
0.373227954,2.01508
0.372968274,2.01385
0.372709135,2.01477
0.372450535,2.0105
0.372192473,2.01202
0.371934947,2.00806
0.371677954,2.00775
0.371421493,2.00836
0.371165563,2.00348
0.370910161,2.00562
0.370655285,2.00134
0.370400934,2.00073
0.370147106,2.00165
0.369893799,1.99707
0.369641011,1.9989
0.369388741,1.99585
0.369136987,1.99463
0.368885747,1.99554
0.368635019,1.99066
0.368384802,1.9931
0.368135093,1.98944
0.367885892,1.98822
0.367637196,1.98944
0.367389003,1.98456
0.367141313,1.98639
0.366894123,1.98273
0.366647431,1.98212
0.366401237,1.98303
0.366155538,1.97815
0.365910332,1.97998
0.365665619,1.97632
0.365421395,1.97601
0.365177661,1.97601
0.364934413,1.97235
0.364691651,1.97418
0.364449373,1.97052
0.364207576,1.9693
0.363966261,1.97052
0.363725425,1.96594
0.363485066,1.96838
0.363245183,1.96411
0.363005774,1.9635
0.362766838,1.96442
0.362528373,1.95953
0.362290378,1.96228
0.362052851,1.95862
0.36181579,1.95801
0.361579195,1.95892
0.361343063,1.95435
0.361107393,1.95648
0.360872183,1.95251
0.360637433,1.9519
0.36040314,1.95282
0.360169303,1.94885
0.359935921,1.95099
0.359702992,1.94702
0.359470514,1.94611
0.359238487,1.94672
0.359006909,1.94244
0.358775777,1.94519
0.358545092,1.94153
0.358314851,1.94031
0.358085052,1.94153
0.357855696,1.93665
0.357626779,1.93909
0.357398302,1.93542
0.357170261,1.93512
0.356942657,1.93573
0.356715487,1.93146
0.356488751,1.9342
0.356262446,1.92963
0.356036571,1.92902
0.355811126,1.93024
0.355586109,1.92596
0.355361517,1.9278
0.355137351,1.92474
0.354913609,1.92383
0.354690289,1.92474
0.354467389,1.91986
0.35424491,1.9223
0.354022849,1.91833
0.353801205,1.91833
