V_2,I_2,V_3,I_3
0.270996094,2.39441E-06,0.270996094,2.16461E-06
0.2734375,2.39136E-06,0.2734375,2.28668E-06
0.275878906,2.38983E-06,0.275878906,2.40723E-06
0.278320313,2.38922E-06,0.278320313,2.52594E-06
0.280761719,2.38953E-06,0.280761719,2.63855E-06
0.283203125,2.39014E-06,0.283203125,2.74841E-06
0.285644531,2.39105E-06,0.285644531,2.85492E-06
0.288085938,2.39349E-06,0.288085938,2.95471E-06
0.290527344,2.39532E-06,0.290527344,3.05084E-06
0.29296875,2.39807E-06,0.29296875,3.13812E-06
0.295410156,2.40204E-06,0.295410156,3.22052E-06
0.297851563,2.4054E-06,0.297851563,3.29376E-06
0.300292969,2.40845E-06,0.300292969,3.36273E-06
0.302734375,2.41211E-06,0.302734375,3.42072E-06
0.305175781,2.41486E-06,0.305175781,3.4729E-06
0.307617188,2.41852E-06,0.307617188,3.51715E-06
0.310058594,2.42126E-06,0.310058594,3.55438E-06
0.3125,2.42462E-06,0.3125,3.58704E-06
0.314941406,2.4295E-06,0.314941406,3.60992E-06
0.317382813,2.43286E-06,0.317382813,3.62579E-06
0.319824219,2.43622E-06,0.319824219,3.63403E-06
0.322265625,2.43866E-06,0.322265625,3.63647E-06
0.324707031,2.44171E-06,0.324707031,3.63556E-06
0.327148438,2.44537E-06,0.327148438,3.62793E-06
0.329589844,2.4469E-06,0.329589844,3.61572E-06
0.33203125,2.44873E-06,0.33203125,3.59863E-06
0.334472656,2.44995E-06,0.334472656,3.57971E-06
0.336914063,2.45026E-06,0.336914063,3.55621E-06
0.339355469,2.45148E-06,0.339355469,3.5318E-06
0.341796875,2.45087E-06,0.341796875,3.5025E-06
0.344238281,2.44965E-06,0.344238281,3.4729E-06
0.346679688,2.45026E-06,0.346679688,3.44208E-06
0.349121094,2.44934E-06,0.349121094,3.40942E-06
0.3515625,2.44904E-06,0.3515625,3.37646E-06
0.354003906,2.44873E-06,0.354003906,3.3429E-06
0.356445313,2.44781E-06,0.356445313,3.30933E-06
0.358886719,2.44812E-06,0.358886719,3.27423E-06
0.361328125,2.44751E-06,0.361328125,3.23914E-06
0.363769531,2.4469E-06,0.363769531,3.20496E-06
0.366210938,2.44781E-06,0.366210938,3.16986E-06
0.368652344,2.44751E-06,0.368652344,3.13568E-06
0.37109375,2.4469E-06,0.37109375,3.10181E-06
0.373535156,2.4469E-06,0.373535156,3.06885E-06
0.375976563,2.44659E-06,0.375976563,3.03589E-06
0.378417969,2.4472E-06,0.378417969,3.00385E-06
0.380859375,2.44751E-06,0.380859375,2.97241E-06
0.383300781,2.44843E-06,0.383300781,2.94159E-06
0.385742188,2.45056E-06,0.385742188,2.91229E-06
0.388183594,2.45239E-06,0.388183594,2.88391E-06
0.390625,2.45544E-06,0.390625,2.85614E-06
0.393066406,2.45789E-06,0.393066406,2.8299E-06
0.395507813,2.46063E-06,0.395507813,2.80365E-06
0.397949219,2.46521E-06,0.397949219,2.77832E-06
0.400390625,2.46826E-06,0.400390625,2.75421E-06
0.402832031,2.47284E-06,0.402832031,2.73041E-06
0.405273438,2.47681E-06,0.405273438,2.70721E-06
0.407714844,2.48199E-06,0.407714844,2.68494E-06
0.41015625,2.48627E-06,0.41015625,2.66296E-06
0.412597656,2.49084E-06,0.412597656,2.64221E-06
0.415039063,2.49603E-06,0.415039063,2.62207E-06
0.417480469,2.50183E-06,0.417480469,2.60223E-06
0.419921875,2.50732E-06,0.419921875,2.58392E-06
0.422363281,2.51404E-06,0.422363281,2.56622E-06
0.424804688,2.52136E-06,0.424804688,2.54944E-06
0.427246094,2.52747E-06,0.427246094,2.53326E-06
0.4296875,2.5351E-06,0.4296875,2.5177E-06
