V_KCl,I_KCl
-0.48828125,-2.66968E-06
-0.490722656,-2.66754E-06
-0.493164063,-2.66663E-06
-0.495605469,-2.66724E-06
-0.498046875,-2.66632E-06
-0.500488281,-2.66663E-06
-0.498046875,-2.52533E-06
-0.495605469,-2.42767E-06
-0.493164063,-2.35199E-06
-0.490722656,-2.29065E-06
-0.48828125,-2.23846E-06
-0.485839844,-2.1933E-06
-0.483398438,-2.15363E-06
-0.480957031,-2.11975E-06
-0.478515625,-2.08893E-06
-0.476074219,-2.06085E-06
-0.473632813,-2.03491E-06
-0.471191406,-2.01172E-06
-0.46875,-1.98975E-06
-0.466308594,-1.96899E-06
-0.463867188,-1.94946E-06
-0.461425781,-1.93329E-06
-0.458984375,-1.91711E-06
-0.456542969,-1.90186E-06
-0.454101563,-1.88843E-06
-0.451660156,-0.000001875
-0.44921875,-1.86279E-06
-0.446777344,-1.8515E-06
-0.444335938,-1.8399E-06
-0.441894531,-1.82861E-06
-0.439453125,-1.81793E-06
-0.437011719,-1.80695E-06
-0.434570313,-1.79688E-06
-0.432128906,-1.7868E-06
-0.4296875,-1.77582E-06
-0.427246094,-1.76788E-06
-0.424804688,-1.75842E-06
-0.422363281,-1.74957E-06
-0.419921875,-1.74194E-06
-0.417480469,-1.73401E-06
-0.415039063,-1.72729E-06
-0.412597656,-1.72058E-06
-0.41015625,-1.71234E-06
-0.407714844,-1.70502E-06
-0.405273438,-1.6983E-06
-0.402832031,-1.69189E-06
-0.400390625,-1.68365E-06
-0.397949219,-1.67694E-06
-0.395507813,-1.6684E-06
-0.393066406,-1.66138E-06
-0.390625,-1.65527E-06
-0.388183594,-1.64856E-06
-0.385742188,-1.64215E-06
-0.383300781,-1.63635E-06
-0.380859375,-1.63086E-06
-0.378417969,-1.62506E-06
-0.375976563,-1.61926E-06
-0.373535156,-1.61316E-06
-0.37109375,-1.60797E-06
-0.368652344,-1.60187E-06
-0.366210938,-1.59515E-06
-0.363769531,-1.58905E-06
-0.361328125,-1.58295E-06
-0.358886719,-1.57532E-06
-0.356445313,-1.56952E-06
-0.354003906,-1.56372E-06
-0.3515625,-1.55762E-06
-0.349121094,-1.55243E-06
-0.346679688,-1.54663E-06
-0.344238281,-1.54205E-06
-0.341796875,-1.53656E-06
-0.339355469,-1.53107E-06
-0.336914063,-1.52557E-06
-0.334472656,-1.52008E-06
-0.33203125,-1.51398E-06
-0.329589844,-1.50757E-06
-0.327148438,-1.50116E-06
-0.324707031,-1.49414E-06
-0.322265625,-1.48895E-06
-0.319824219,-1.48193E-06
-0.317382813,-1.47675E-06
-0.314941406,-1.47095E-06
-0.3125,-1.46515E-06
-0.310058594,-1.45996E-06
-0.307617188,-1.45477E-06
-0.305175781,-1.44867E-06
-0.302734375,-1.44379E-06
-0.300292969,-1.43738E-06
-0.297851563,-1.43036E-06
-0.295410156,-1.42395E-06
-0.29296875,-1.41724E-06
-0.290527344,-1.41022E-06
-0.288085938,-1.40411E-06
-0.285644531,-1.3974E-06
-0.283203125,-1.3916E-06
-0.280761719,-1.38519E-06
-0.278320313,-1.37939E-06
-0.275878906,-1.3736E-06
-0.2734375,-1.36749E-06
-0.270996094,-1.36108E-06
-0.268554688,-1.35468E-06
-0.266113281,-1.34827E-06
-0.263671875,-1.34125E-06
-0.261230469,-1.33392E-06
-0.258789063,-1.32629E-06
-0.256347656,-1.31897E-06
-0.25390625,-1.31195E-06
-0.251464844,-1.30463E-06
-0.249023438,-1.29761E-06
-0.246582031,-1.28998E-06
-0.244140625,-1.28357E-06
-0.241699219,-1.27594E-06
-0.239257813,-1.26892E-06
-0.236816406,-1.26221E-06
-0.234375,-1.25458E-06
-0.231933594,-1.24695E-06
-0.229492188,-1.23962E-06
-0.227050781,-1.23047E-06
-0.224609375,-1.22192E-06
-0.222167969,-1.21338E-06
-0.219726563,-1.20361E-06
-0.217285156,-1.19537E-06
-0.21484375,-1.18713E-06
-0.212402344,-1.17767E-06
-0.209960938,-1.16852E-06
-0.207519531,-1.16028E-06
-0.205078125,-1.15204E-06
-0.202636719,-1.14319E-06
-0.200195313,-1.13403E-06
-0.197753906,-1.12396E-06
-0.1953125,-1.11389E-06
-0.192871094,-1.10382E-06
-0.190429688,-1.09283E-06
-0.187988281,-1.08185E-06
-0.185546875,-1.07056E-06
-0.183105469,-1.05896E-06
-0.180664063,-1.04797E-06
-0.178222656,-1.03699E-06
-0.17578125,-1.026E-06
-0.173339844,-1.01471E-06
-0.170898438,-1.00372E-06
-0.168457031,-9.91516E-07
-0.166015625,-9.80225E-07
-0.163574219,-9.68323E-07
-0.161132813,-9.55811E-07
-0.158691406,-9.42993E-07
-0.15625,-9.30786E-07
-0.153808594,-9.16138E-07
-0.151367188,-9.021E-07
-0.148925781,-8.87756E-07
-0.146484375,-8.74939E-07
-0.144042969,-8.61816E-07
-0.141601563,-8.47168E-07
-0.139160156,-8.34351E-07
-0.13671875,-8.20923E-07
-0.134277344,-8.06885E-07
-0.131835938,-7.93457E-07
-0.129394531,-7.78198E-07
-0.126953125,-7.64465E-07
-0.124511719,-7.49817E-07
-0.122070313,-7.34558E-07
-0.119628906,-7.18689E-07
-0.1171875,-7.02515E-07
-0.114746094,-6.86951E-07
-0.112304688,-6.71692E-07
-0.109863281,-6.56433E-07
-0.107421875,-6.41174E-07
-0.104980469,-6.26831E-07
-0.102539063,-6.10962E-07
-0.100097656,-5.95703E-07
-0.09765625,-5.82275E-07
-0.095214844,-5.66101E-07
-0.092773438,-5.50842E-07
-0.090332031,-5.34973E-07
-0.087890625,-5.19409E-07
-0.085449219,-5.02625E-07
-0.083007813,-4.85535E-07
-0.080566406,-4.6936E-07
-0.078125,-4.53491E-07
-0.075683594,-4.37073E-07
-0.073242188,-4.21021E-07
-0.070800781,-4.05396E-07
-0.068359375,-3.89893E-07
-0.065917969,-3.74359E-07
-0.063476563,-3.58002E-07
-0.061035156,-3.42957E-07
-0.05859375,-3.26263E-07
-0.056152344,-3.10638E-07
-0.053710938,-2.92725E-07
-0.051269531,-2.76123E-07
-0.048828125,-2.59735E-07
-0.046386719,-2.41791E-07
-0.043945313,-2.24976E-07
-0.041503906,-2.08099E-07
-0.0390625,-1.91132E-07
-0.036621094,-1.74835E-07
-0.034179688,-1.58386E-07
-0.031738281,-1.42609E-07
-0.029296875,-1.26373E-07
-0.026855469,-1.09558E-07
-0.024414063,-9.28955E-08
-0.021972656,-7.55005E-08
-0.01953125,-5.896E-08
-0.017089844,-4.18396E-08
-0.014648438,-2.45361E-08
-0.012207031,-6.73828E-09
-0.009765625,1.07391E-08
-0.007324219,2.73438E-08
-0.004882813,4.38843E-08
-0.002441406,5.9845E-08
