V,I
0.84197998,1.60858E-06
0.844421387,1.64459E-06
0.846862793,1.68427E-06
0.849304199,1.71875E-06
0.851745605,1.7514E-06
0.854187012,1.7923E-06
0.856628418,1.82251E-06
0.859069824,1.86432E-06
0.86151123,1.89331E-06
0.863952637,1.93359E-06
0.866394043,1.9632E-06
0.868835449,2.00012E-06
0.871276855,2.02667E-06
0.873718262,2.06146E-06
0.876159668,2.09473E-06
0.878601074,2.12341E-06
0.88104248,2.15332E-06
0.883483887,2.18445E-06
0.885925293,2.21283E-06
0.888366699,2.23969E-06
0.890808105,2.26929E-06
0.893249512,2.2937E-06
0.895690918,2.32452E-06
0.898132324,2.34528E-06
0.90057373,2.3764E-06
0.903015137,2.39471E-06
0.905456543,2.42432E-06
0.907897949,2.44171E-06
0.910339355,2.47253E-06
0.912780762,2.49023E-06
0.915222168,2.51221E-06
0.917663574,2.53296E-06
0.92010498,2.5528E-06
0.922546387,2.57599E-06
0.924987793,2.59064E-06
0.927429199,2.612E-06
0.929870605,2.62909E-06
0.932312012,2.65045E-06
0.934753418,2.66418E-06
0.937194824,2.68616E-06
0.93963623,2.69806E-06
0.942077637,2.72003E-06
0.944519043,2.72888E-06
0.946960449,2.74689E-06
0.949401855,2.75757E-06
0.951843262,2.77313E-06
0.954284668,2.78381E-06
0.956726074,2.79175E-06
0.95916748,2.80853E-06
0.961608887,2.81555E-06
0.964050293,2.8302E-06
0.966491699,2.83478E-06
0.968933105,2.85156E-06
0.971374512,2.8537E-06
0.973815918,2.86713E-06
0.976257324,2.86682E-06
0.97869873,2.88361E-06
0.981140137,2.88788E-06
0.983581543,2.89185E-06
0.986022949,2.89978E-06
0.988464355,2.90283E-06
0.990905762,2.90771E-06
0.993347168,2.90588E-06
0.995788574,2.91779E-06
0.99822998,2.91687E-06
1.000671387,2.92236E-06
1.003112793,2.92236E-06
1.005554199,2.92755E-06
1.007995605,2.92389E-06
1.010437012,2.93091E-06
1.012878418,2.92725E-06
1.015319824,2.9306E-06
1.01776123,2.92664E-06
1.020202637,2.93182E-06
1.022644043,2.92755E-06
1.025085449,2.92755E-06
1.027526855,2.93152E-06
1.029968262,2.92572E-06
1.032409668,2.93335E-06
1.034851074,2.92175E-06
1.03729248,2.92694E-06
1.039733887,2.91718E-06
1.042175293,2.92572E-06
1.044616699,2.91534E-06
1.047058105,2.92358E-06
1.049499512,2.91473E-06
1.051940918,2.91687E-06
1.054382324,2.91321E-06
1.05682373,2.91199E-06
1.059265137,2.90771E-06
1.061706543,2.90192E-06
1.064147949,2.90527E-06
1.066589355,2.89734E-06
1.069030762,2.89886E-06
1.071472168,2.89398E-06
1.073913574,2.8952E-06
1.07635498,2.88483E-06
1.078796387,2.89093E-06
1.081237793,2.8833E-06
1.083679199,2.88513E-06
1.086120605,2.88177E-06
1.088562012,2.87842E-06
1.091003418,2.87506E-06
1.093444824,2.87262E-06
1.09588623,2.8717E-06
1.098327637,2.86499E-06
1.100769043,2.86774E-06
1.103210449,2.86224E-06
1.105651855,2.86438E-06
1.108093262,2.85461E-06
1.110534668,2.85919E-06
1.112976074,2.85278E-06
1.11541748,2.85492E-06
1.117858887,2.84668E-06
1.120300293,2.85095E-06
1.122741699,2.84515E-06
1.125183105,2.84729E-06
1.127624512,2.8421E-06
1.130065918,2.83905E-06
1.132507324,2.84424E-06
1.13494873,2.83905E-06
1.137390137,2.83936E-06
1.139831543,2.83661E-06
1.142272949,2.83813E-06
1.144714355,2.82806E-06
1.147155762,2.84119E-06
1.149597168,2.82959E-06
1.152038574,2.83478E-06
1.15447998,2.8299E-06
1.156921387,2.83386E-06
1.159362793,2.83112E-06
1.161804199,2.83325E-06
1.164245605,2.82928E-06
1.166687012,2.82959E-06
1.169128418,2.83539E-06
1.171569824,2.82959E-06
1.17401123,2.83478E-06
1.176452637,2.83478E-06
1.178894043,2.84088E-06
1.181335449,2.83478E-06
1.183776855,2.84393E-06
1.186218262,2.83813E-06
1.188659668,2.85278E-06
1.191101074,2.84882E-06
1.19354248,2.85217E-06
1.195983887,2.85889E-06
1.198425293,2.86652E-06
1.200866699,2.8714E-06
1.203308105,2.87659E-06
1.205749512,2.88818E-06
1.208190918,2.89154E-06
1.210632324,2.90955E-06
1.21307373,2.91687E-06
1.215515137,2.93579E-06
1.217956543,2.94952E-06
1.220397949,2.97333E-06
1.222839355,2.98981E-06
1.225280762,3.01758E-06
1.227722168,3.04352E-06
1.230163574,3.07495E-06
1.23260498,3.10547E-06
1.235046387,3.14758E-06
1.237487793,3.19885E-06
1.239929199,3.23944E-06
1.242370605,3.29895E-06
1.244812012,3.35876E-06
1.247253418,3.43079E-06
1.249694824,3.50067E-06
1.25213623,3.59192E-06
1.254577637,3.67889E-06
1.257019043,3.77991E-06
1.259460449,3.88489E-06
