PFC_V,PFC_I,RHA_V,RHA_I,FDM_V,FDM_I
0.170898438,1.43646E-06,-0.170898438,-1.0965E-05,0.173339844,-8.64868E-08
0.173339844,1.55579E-06,-0.173339844,-1.11603E-05,0.17578125,-2.99683E-08
0.17578125,1.67969E-06,-0.17578125,-1.13281E-05,0.178222656,3.11584E-08
0.178222656,1.81152E-06,-0.178222656,-1.14746E-05,0.180664063,9.63135E-08
0.180664063,1.94855E-06,-0.180664063,-1.16058E-05,0.183105469,1.65619E-07
0.183105469,2.09045E-06,-0.183105469,-1.17157E-05,0.185546875,2.39502E-07
0.185546875,2.2348E-06,-0.185546875,-1.18073E-05,0.187988281,3.19397E-07
0.187988281,2.38708E-06,-0.187988281,-1.18744E-05,0.190429688,4.03503E-07
0.190429688,2.54211E-06,-0.190429688,-1.19263E-05,0.192871094,4.93774E-07
0.192871094,2.69806E-06,-0.192871094,-1.19629E-05,0.1953125,5.896E-07
0.1953125,2.85858E-06,-0.1953125,-1.19781E-05,0.197753906,6.90918E-07
0.197753906,3.01727E-06,-0.197753906,-1.19751E-05,0.200195313,7.96814E-07
0.200195313,3.1781E-06,-0.200195313,-1.19598E-05,0.202636719,9.10034E-07
0.202636719,3.33557E-06,-0.202636719,-1.19324E-05,0.205078125,1.02844E-06
0.205078125,3.49121E-06,-0.205078125,-1.18896E-05,0.207519531,1.15387E-06
0.207519531,3.64532E-06,-0.207519531,-1.18347E-05,0.209960938,1.28601E-06
0.209960938,3.79547E-06,-0.209960938,-1.17737E-05,0.212402344,1.42517E-06
0.212402344,3.94104E-06,-0.212402344,-1.17035E-05,0.21484375,1.56769E-06
0.21484375,4.07898E-06,-0.21484375,-1.16241E-05,0.217285156,1.7215E-06
0.217285156,4.21356E-06,-0.217285156,-1.15387E-05,0.219726563,1.8808E-06
0.219726563,4.3396E-06,-0.219726563,-1.14502E-05,0.222167969,2.04529E-06
0.222167969,4.45709E-06,-0.222167969,-1.13586E-05,0.224609375,2.21527E-06
0.224609375,4.56299E-06,-0.224609375,-1.1264E-05,0.227050781,2.39136E-06
0.227050781,4.66278E-06,-0.227050781,-1.11664E-05,0.229492188,2.57233E-06
0.229492188,4.7525E-06,-0.229492188,-1.10687E-05,0.231933594,2.75818E-06
0.231933594,4.83093E-06,-0.231933594,-1.0968E-05,0.234375,2.94556E-06
0.234375,4.90112E-06,-0.234375,-1.08673E-05,0.236816406,3.13904E-06
0.236816406,4.95911E-06,-0.236816406,-1.07697E-05,0.239257813,3.33618E-06
0.239257813,5.00793E-06,-0.239257813,-1.06659E-05,0.241699219,3.52966E-06
0.241699219,5.04456E-06,-0.241699219,-1.05652E-05,0.244140625,3.72467E-06
0.244140625,5.07202E-06,-0.244140625,-1.04645E-05,0.246582031,3.92181E-06
0.246582031,5.09033E-06,-0.246582031,-1.03668E-05,0.249023438,4.11713E-06
0.249023438,5.10254E-06,-0.249023438,-1.02722E-05,0.251464844,4.30847E-06
0.251464844,5.10559E-06,-0.251464844,-1.01776E-05,0.25390625,4.49646E-06
0.25390625,5.09949E-06,-0.25390625,-1.00861E-05,0.256347656,4.67865E-06
0.256347656,5.09033E-06,-0.256347656,-9.99146E-06,0.258789063,4.85504E-06
0.258789063,5.07202E-06,-0.258789063,-9.8999E-06,0.261230469,5.02625E-06
0.261230469,5.04761E-06,-0.261230469,-9.81445E-06,0.263671875,5.18188E-06
0.263671875,5.02319E-06,-0.263671875,-9.73206E-06,0.266113281,5.33142E-06
0.266113281,4.98962E-06,-0.266113281,-9.64966E-06,0.268554688,5.46875E-06
0.268554688,4.953E-06,-0.268554688,-9.57031E-06,0.270996094,5.59387E-06
0.270996094,4.91333E-06,-0.270996094,-9.49097E-06,0.2734375,5.70984E-06
0.2734375,4.87213E-06,-0.2734375,-9.41467E-06,0.275878906,5.8136E-06
0.275878906,4.82819E-06,-0.275878906,-9.34143E-06,0.278320313,5.89905E-06
0.278320313,4.78241E-06,-0.278320313,-9.26819E-06,0.280761719,5.97839E-06
0.280761719,4.73541E-06,-0.280761719,-9.198E-06,0.283203125,6.03943E-06
0.283203125,4.68658E-06,-0.283203125,-9.12781E-06,0.285644531,6.09131E-06
0.285644531,4.63837E-06,-0.285644531,-9.06067E-06,0.288085938,6.13098E-06
0.288085938,4.58984E-06,-0.288085938,-8.99658E-06,0.290527344,6.15845E-06
0.290527344,4.54041E-06,-0.290527344,-8.9325E-06,0.29296875,6.17065E-06
0.29296875,4.49066E-06,-0.29296875,-8.87146E-06,0.295410156,6.17981E-06
0.295410156,4.44305E-06,-0.295410156,-8.81348E-06,0.297851563,6.17371E-06
0.297851563,4.39667E-06,-0.297851563,-8.75244E-06,0.300292969,6.15845E-06
0.300292969,4.34967E-06,-0.300292969,-8.69751E-06,0.302734375,6.13403E-06
0.302734375,4.30237E-06,-0.302734375,-8.64258E-06,0.305175781,6.10046E-06
0.305175781,4.2569E-06,-0.305175781,-8.5907E-06,0.307617188,6.06384E-06
0.307617188,4.21173E-06,-0.307617188,-8.54492E-06,0.310058594,6.02112E-06
0.310058594,4.16748E-06,-0.310058594,-8.48999E-06,0.3125,5.97229E-06
0.3125,4.12537E-06,-0.3125,-8.44421E-06,0.314941406,5.92041E-06
0.314941406,4.08325E-06,-0.314941406,-8.39539E-06,0.317382813,5.86243E-06
0.317382813,4.04053E-06,-0.317382813,-8.34961E-06,0.319824219,5.80139E-06
0.319824219,4.00055E-06,-0.319824219,-8.30383E-06,0.322265625,5.7373E-06
