t1,x1,t2,x2,t3,x3
1.334666667,-0.086626517,0,0.006432775,0.216883333,-0.001398974
1.35135,-0.087767144,0.016683333,0.00679412,0.233566667,-0.001512104
1.368033333,-0.090149741,0.033366667,0.006446407,0.25025,-0.001074192
1.384716667,-0.092403533,0.05005,0.006184133,0.266933333,-0.001732995
1.4014,-0.09387986,0.066733333,0.006169821,0.283616667,-9.36E-04
1.418083333,-0.095180532,0.083416667,0.006020496,0.3003,-0.001261312
1.434766667,-0.098255707,0.1001,0.0057455,0.316983333,-0.001306209
1.45145,-0.099737647,0.116783333,0.006251593,0.333666667,-0.001339093
1.468133333,-0.100541702,0.133466667,0.006625066,0.35035,-0.001226101
1.484816667,-0.103824395,0.15015,0.005257662,0.367033333,-0.001338442
1.5015,-0.104485845,0.166833333,0.003593769,0.383716667,-0.001523711
1.518183333,-0.107281516,0.183516667,0.003569476,0.4004,-0.001820393
1.534866667,-0.108286007,0.2002,0.003534606,0.417083333,-0.002246004
1.55155,-0.10988046,0.216883333,0.003587093,0.433766667,-0.003016557
1.568233333,-0.111811615,0.233566667,0.004094387,0.45045,-0.003622743
1.584916667,-0.113889922,0.25025,0.004392376,0.467133333,-0.004384203
1.6016,-0.11565579,0.266933333,0.002491774,0.483816667,-0.00459791
1.618283333,-0.117499978,0.283616667,0.002965907,0.5005,-0.003994535
1.634966667,-0.11894439,0.3003,0.001507009,0.517183333,-0.004763712
1.65165,-0.120495388,0.316983333,0.002112449,0.533866667,-0.0052613
1.668333333,-0.123901019,0.333666667,0.001751862,0.55055,-0.005326353
1.685016667,-0.125081938,0.35035,0.002031771,0.567233333,-0.005563218
1.7017,-0.12652872,0.367033333,0.002039176,0.583916667,-0.005877355
1.718383333,-0.127985214,0.383716667,0.001720444,0.6006,-0.006791395
1.735066667,-0.129921645,0.4004,0.001168041,0.617283333,-0.007531737
1.75175,-0.131982049,0.417083333,6.89E-04,0.633966667,-0.006849846
1.768433333,-0.13378019,0.433766667,3.68E-04,0.65065,-0.007488447
1.785116667,-0.136179955,0.45045,3.51E-04,0.667333333,-0.008096116
1.8018,-0.137988148,0.467133333,2.22E-04,0.684016667,-0.008378117
1.818483333,-0.142195477,0.483816667,-1.61E-04,0.7007,-0.009049974
1.835166667,-0.142950219,0.5005,-6.08E-04,0.717383333,-0.010259604
1.85185,-0.14645348,0.517183333,-0.001286572,0.734066667,-0.011033017
1.868533333,-0.14747252,0.533866667,-0.002094656,0.75075,-0.011677071
1.885216667,-0.150949871,0.55055,-0.003280167,0.767433333,-0.012646998
1.9019,-0.152433094,0.567233333,-0.00388752,0.784116667,-0.012686779
1.918583333,-0.156764234,0.583916667,-0.005320672,0.8008,-0.013512051
1.935266667,-0.158313508,0.6006,-0.00603027,0.817483333,-0.014724078
1.95195,-0.162373535,0.617283333,-0.006794017,0.834166667,-0.015645872
1.968633333,-0.163605108,0.633966667,-0.007654379,0.85085,-0.016273437
1.985316667,-0.166926126,0.65065,-0.007841698,0.867533333,-0.016215439
2.002,-0.168052404,0.667333333,-0.009963378,0.884216667,-0.017245162
2.018683333,-0.170974767,0.684016667,-0.010525183,0.9009,-0.018383644
2.035366667,-0.174083793,0.7007,-0.011142211,0.917583333,-0.019017924
2.05205,-0.177283696,0.717383333,-0.012267511,0.934266667,-0.019752155
2.068733333,-0.180750148,0.734066667,-0.012830525,0.95095,-0.020659772
2.085416667,-0.182797253,0.75075,-0.013864543,0.967633333,-0.021747374
2.1021,-0.18494334,0.767433333,-0.014213585,0.984316667,-0.023099063
2.118783333,-0.187974181,0.784116667,-0.016479759,1.001,-0.023864489
2.135466667,-0.190552652,0.8008,-0.016845673,1.017683333,-0.024802381
2.15215,-0.192804333,0.817483333,-0.018734568,1.034366667,-0.025003686
2.168833333,-0.195819234,0.834166667,-0.019040298,1.05105,-0.026716481
2.185516667,-0.19844772,0.85085,-0.019686634,1.067733333,-0.027473524
2.2022,-0.201686258,0.867533333,-0.021766093,1.084416667,-0.028327165
2.218883333,-0.204083077,0.884216667,-0.022553721,1.1011,-0.029988907
