t1,x1,t2,x2,t3,x3
0,-0.003998201,0,-0.006700413,0.016683333,-0.002343574
0.016683333,-0.005299584,0.016683333,-0.006459177,0.033366667,-0.002496016
0.033366667,-0.004000005,0.033366667,-0.006714097,0.05005,-0.002533649
0.05005,-0.005408627,0.05005,-0.007563438,0.066733333,-0.002434555
0.066733333,-0.004768701,0.066733333,-0.008257175,0.083416667,-0.002673812
0.083416667,-0.004811114,0.083416667,-0.008715659,0.1001,-0.002364684
0.1001,-0.005044759,0.1001,-0.009776084,0.116783333,-0.002618255
0.116783333,-0.005436537,0.116783333,-0.01037839,0.133466667,-0.002576869
0.133466667,-0.005936334,0.133466667,-0.010859863,0.15015,-0.003715874
0.15015,-0.005546063,0.15015,-0.011752255,0.166833333,-0.004114112
0.166833333,-0.005308359,0.166833333,-0.012419835,0.183516667,-0.00494379
0.183516667,-0.004476977,0.183516667,-0.013582422,0.2002,-0.004846813
0.2002,-0.006259687,0.2002,-0.014435715,0.216883333,-0.006122514
0.216883333,-0.005301658,0.216883333,-0.015055584,0.233566667,-0.005946363
0.233566667,-0.007121932,0.233566667,-0.016379751,0.25025,-0.006276101
0.25025,-0.006962888,0.25025,-0.01730313,0.266933333,-0.006505046
0.266933333,-0.007275101,0.266933333,-0.018140657,0.283616667,-0.0072361
0.283616667,-0.007794952,0.283616667,-0.019060958,0.3003,-0.00759813
0.3003,-0.008160208,0.3003,-0.020319737,0.316983333,-0.008286027
0.316983333,-0.007990314,0.316983333,-0.020969234,0.333666667,-0.009122125
0.333666667,-0.007873826,0.333666667,-0.022083147,0.35035,-0.009777238
0.35035,-0.009219721,0.35035,-0.023049769,0.367033333,-0.010030316
0.367033333,-0.008662089,0.367033333,-0.024648713,0.383716667,-0.010425543
0.383716667,-0.009693451,0.383716667,-0.025398201,0.4004,-0.011319012
0.4004,-0.009358603,0.4004,-0.026831263,0.417083333,-0.011703544
0.417083333,-0.011292659,0.417083333,-0.028016251,0.433766667,-0.012441824
0.433766667,-0.010894648,0.433766667,-0.028982841,0.45045,-0.013556538
0.45045,-0.01135289,0.45045,-0.029969531,0.467133333,-0.014160505
0.467133333,-0.011398187,0.467133333,-0.03146538,0.483816667,-0.015377079
0.483816667,-0.011267882,0.483816667,-0.032730349,0.5005,-0.016293864
0.5005,-0.011469702,0.5005,-0.033974944,0.517183333,-0.017198468
0.517183333,-0.013516918,0.517183333,-0.035635632,0.533866667,-0.018096622
0.533866667,-0.013237981,0.533866667,-0.036611122,0.55055,-0.018978536
0.55055,-0.014606426,0.55055,-0.037440544,0.567233333,-0.019577298
0.567233333,-0.014525714,0.567233333,-0.039533039,0.583916667,-0.020692688
0.583916667,-0.016428148,0.583916667,-0.0411304,0.6006,-0.021874502
0.6006,-0.016752229,0.6006,-0.042419017,0.617283333,-0.022495509
0.617283333,-0.017358337,0.617283333,-0.043138642,0.633966667,-0.023850926
0.633966667,-0.018465323,0.633966667,-0.04461104,0.65065,-0.025170176
0.65065,-0.019790441,0.65065,-0.046610095,0.667333333,-0.025847907
0.667333333,-0.020408702,0.667333333,-0.047675428,0.684016667,-0.02721
