t1,x1,t2,x2,t3,x3
0.00E+00,-1.34E-04,0.00E+00,-3.78E-04,0.00E+00,-3.33E-04
1.67E-02,-3.13E-05,1.67E-02,-3.32E-04,1.67E-02,-1.99E-04
3.34E-02,1.11E-16,3.34E-02,-1.28E-04,3.34E-02,-2.26E-04
5.01E-02,6.12E-06,5.01E-02,-6.47E-06,5.01E-02,-2.73E-04
6.67E-02,3.41E-05,6.67E-02,4.68E-06,6.67E-02,-2.76E-04
8.34E-02,4.94E-05,8.34E-02,-5.76E-04,8.34E-02,-5.72E-04
1.00E-01,2.89E-05,1.00E-01,-5.44E-04,1.00E-01,-3.61E-04
1.17E-01,2.88E-04,1.17E-01,-5.60E-04,1.17E-01,-5.08E-04
1.33E-01,2.52E-04,1.33E-01,-5.79E-04,1.33E-01,-5.33E-04
1.50E-01,4.76E-04,1.50E-01,-1.09E-03,1.50E-01,-3.24E-04
1.67E-01,5.13E-04,1.67E-01,-9.05E-04,1.67E-01,-4.05E-04
1.84E-01,7.84E-04,1.84E-01,-9.45E-04,1.84E-01,-3.72E-04
2.00E-01,8.83E-04,2.00E-01,-2.10E-03,2.00E-01,-1.32E-03
2.17E-01,6.74E-04,2.17E-01,-2.34E-03,2.17E-01,-1.81E-03
2.34E-01,8.22E-04,2.34E-01,-2.50E-03,2.34E-01,-1.85E-03
2.50E-01,7.81E-04,2.50E-01,-2.70E-03,2.50E-01,-2.24E-03
2.67E-01,5.45E-04,2.67E-01,-3.14E-03,2.67E-01,-2.57E-03
2.84E-01,5.50E-04,2.84E-01,-3.37E-03,2.84E-01,-2.67E-03
3.00E-01,5.72E-04,3.00E-01,-3.91E-03,3.00E-01,-3.14E-03
3.17E-01,5.35E-04,3.17E-01,-4.39E-03,3.17E-01,-3.68E-03
3.34E-01,4.25E-04,3.34E-01,-5.63E-03,3.34E-01,-3.91E-03
3.50E-01,4.35E-04,3.50E-01,-6.13E-03,3.50E-01,-4.34E-03
3.67E-01,4.21E-05,3.67E-01,-7.01E-03,3.67E-01,-4.95E-03
3.84E-01,-2.32E-04,3.84E-01,-7.61E-03,3.84E-01,-5.72E-03
4.00E-01,-7.16E-04,4.00E-01,-8.61E-03,4.00E-01,-6.01E-03
4.17E-01,-1.05E-03,4.17E-01,-9.34E-03,4.17E-01,-6.62E-03
4.34E-01,-1.56E-03,4.34E-01,-1.05E-02,4.34E-01,-7.55E-03
4.50E-01,-1.19E-02,4.50E-01,-1.14E-02,4.50E-01,-7.91E-03
4.67E-01,-1.26E-02,4.67E-01,-1.21E-02,4.67E-01,-8.79E-03
4.84E-01,-1.29E-02,4.84E-01,-1.30E-02,4.84E-01,-9.41E-03
5.01E-01,-1.40E-02,5.01E-01,-1.40E-02,5.01E-01,-1.02E-02
5.17E-01,-1.54E-02,5.17E-01,-1.51E-02,5.17E-01,-1.11E-02
5.34E-01,-1.52E-02,5.34E-01,-1.65E-02,5.34E-01,-1.18E-02
5.51E-01,-1.67E-02,5.51E-01,-1.74E-02,5.51E-01,-1.27E-02
5.67E-01,-1.87E-02,5.67E-01,-1.84E-02,5.67E-01,-1.35E-02
5.84E-01,-1.87E-02,5.84E-01,-1.99E-02,5.84E-01,-1.45E-02
6.01E-01,-2.06E-02,6.01E-01,-2.10E-02,6.01E-01,-1.49E-02
6.17E-01,-2.16E-02,6.17E-01,-2.23E-02,6.17E-01,-1.55E-02
6.34E-01,-2.21E-02,6.34E-01,-2.35E-02,6.34E-01,-1.63E-02
6.51E-01,-2.37E-02,6.51E-01,-2.46E-02,6.51E-01,-1.70E-02
6.67E-01,-2.41E-02,6.67E-01,-2.56E-02,6.67E-01,-1.84E-02
6.84E-01,-2.57E-02,6.84E-01,-2.71E-02,6.84E-01,-1.93E-02
7.01E-01,-2.74E-02,7.01E-01,-2.85E-02,7.01E-01,-2.00E-02
7.17E-01,-2.83E-02,7.17E-01,-2.96E-02,7.17E-01,-2.05E-02
7.34E-01,-2.98E-02,7.34E-01,-3.06E-02,7.34E-01,-2.21E-02
7.51E-01,-3.03E-02,7.51E-01,-3.20E-02,7.51E-01,-2.31E-02
7.67E-01,-3.15E-02,7.67E-01,-3.33E-02,7.67E-01,-2.41E-02
7.84E-01,-3.29E-02,7.84E-01,-3.48E-02,7.84E-01,-2.52E-02
8.01E-01,-3.42E-02,8.01E-01,-3.62E-02,8.01E-01,-2.70E-02
8.17E-01,-3.57E-02,8.17E-01,-3.75E-02,8.17E-01,-2.78E-02
8.34E-01,-3.61E-02,8.34E-01,-3.89E-02,8.34E-01,-2.94E-02
8.51E-01,-3.81E-02,8.51E-01,-4.08E-02,8.51E-01,-3.04E-02
8.68E-01,-3.95E-02,8.68E-01,-4.22E-02,8.68E-01,-3.16E-02
8.84E-01,-4.13E-02,8.84E-01,-4.40E-02,8.84E-01,-3.35E-02
9.01E-01,-4.29E-02,9.01E-01,-4.56E-02,9.01E-01,-3.48E-02
9.18E-01,-4.41E-02,9.18E-01,-4.73E-02,9.18E-01,-3.61E-02
9.34E-01,-4.50E-02,9.34E-01,-4.89E-02,9.34E-01,-3.75E-02
9.51E-01,-4.69E-02,9.51E-01,-5.13E-02,9.51E-01,-3.89E-02
9.68E-01,-4.79E-02,9.68E-01,-5.30E-02,9.68E-01,-4.05E-02
9.84E-01,-4.94E-02,9.84E-01,-5.46E-02,9.84E-01,-4.23E-02
1.00E+00,-5.07E-02,1.00E+00,-5.63E-02,1.00E+00,-4.39E-02
1.02E+00,-5.17E-02,1.02E+00,-5.84E-02,1.02E+00,-4.55E-02
1.03E+00,-5.34E-02,1.03E+00,-6.04E-02,1.03E+00,-4.71E-02
1.05E+00,-5.52E-02,1.05E+00,-6.24E-02,1.05E+00,-4.88E-02
1.07E+00,-5.75E-02,1.07E+00,-6.45E-02,1.07E+00,-5.04E-02
1.08E+00,-5.93E-02,1.08E+00,-6.62E-02,1.08E+00,-5.23E-02
1.10E+00,-6.08E-02,1.10E+00,-6.82E-02,1.10E+00,-5.41E-02
1.12E+00,-6.08E-02,1.12E+00,-7.03E-02,1.12E+00,-5.60E-02
1.13E+00,-6.46E-02,1.13E+00,-7.25E-02,1.13E+00,-5.78E-02
1.15E+00,-6.62E-02,1.15E+00,-7.45E-02,1.15E+00,-5.97E-02
1.17E+00,-6.90E-02,1.17E+00,-7.67E-02,1.17E+00,-6.15E-02
1.18E+00,-7.09E-02,1.18E+00,-7.95E-02,1.18E+00,-6.35E-02
1.20E+00,-7.13E-02,1.20E+00,-8.16E-02,1.20E+00,-6.55E-02
1.22E+00,-7.37E-02,1.22E+00,-8.39E-02,1.22E+00,-6.74E-02
