z1,I1,z2,I2,z3,I3,z4,I4,z5,I5
7.33E-08,1.83E-11,9.22E-08,3.05E-12,9.01E-08,9.31E-17,-5.71E-11,1.25E-10,4.35E-08,1.22E-11
7.33E-08,1.22E-11,9.22E-08,1.83E-11,9.01E-08,9.31E-17,-5.12E-11,1.13E-10,4.35E-08,1.22E-11
7.33E-08,1.53E-11,9.22E-08,1.53E-11,9.01E-08,3.05E-12,-4.53E-11,1.31E-10,4.35E-08,3.05E-12
7.33E-08,1.22E-11,9.23E-08,1.22E-11,9.01E-08,6.10E-12,-3.94E-11,1.16E-10,4.35E-08,1.53E-11
7.33E-08,1.53E-11,9.23E-08,1.53E-11,9.01E-08,-6.10E-12,-3.36E-11,1.37E-10,4.35E-08,9.16E-12
7.33E-08,1.53E-11,9.23E-08,1.83E-11,9.01E-08,9.16E-12,-2.77E-11,4.88E-11,4.35E-08,2.44E-11
7.33E-08,1.22E-11,9.23E-08,1.53E-11,9.01E-08,3.05E-12,-2.18E-11,8.24E-11,4.35E-08,1.83E-11
7.33E-08,1.53E-11,9.23E-08,1.53E-11,9.01E-08,6.10E-12,-1.59E-11,6.10E-11,4.35E-08,1.22E-11
7.33E-08,1.22E-11,9.23E-08,6.10E-12,9.01E-08,9.31E-17,-1.00E-11,7.02E-11,4.35E-08,1.22E-11
7.33E-08,1.53E-11,9.23E-08,2.14E-11,9.01E-08,6.10E-12,-4.15E-12,7.93E-11,4.35E-08,9.16E-12
7.33E-08,6.10E-12,9.23E-08,1.53E-11,9.01E-08,3.05E-12,1.73E-12,1.31E-10,4.36E-08,9.31E-17
7.33E-08,1.83E-11,9.23E-08,1.83E-11,9.02E-08,1.53E-11,7.62E-12,1.28E-10,4.36E-08,1.53E-11
7.34E-08,3.05E-12,9.23E-08,9.31E-17,9.02E-08,9.31E-17,1.35E-11,1.22E-10,4.36E-08,1.22E-11
7.34E-08,9.16E-12,9.23E-08,2.14E-11,9.02E-08,1.22E-11,1.94E-11,1.16E-10,4.36E-08,1.53E-11
7.34E-08,6.10E-12,9.23E-08,9.16E-12,9.02E-08,9.16E-12,2.53E-11,1.46E-10,4.36E-08,9.31E-17
7.34E-08,1.83E-11,9.23E-08,2.44E-11,9.02E-08,1.53E-11,3.11E-11,1.46E-10,4.36E-08,2.14E-11
