z1,I1,z2,I2,z3,I3,z4,I4,z5,I5
7.42E-08,1.22E-10,9.31E-08,8.85E-11,9.10E-08,2.44E-11,8.37E-10,1.46E-10,4.44E-08,1.40E-10
7.42E-08,1.46E-10,9.31E-08,7.32E-11,9.10E-08,2.44E-11,8.43E-10,1.62E-10,4.44E-08,1.34E-10
7.42E-08,1.56E-10,9.31E-08,7.02E-11,9.10E-08,2.75E-11,8.49E-10,1.37E-10,4.44E-08,1.01E-10
7.42E-08,1.25E-10,9.31E-08,7.32E-11,9.10E-08,2.44E-11,8.55E-10,1.46E-10,4.44E-08,1.40E-10
7.42E-08,1.77E-10,9.32E-08,8.54E-11,9.10E-08,1.83E-11,8.61E-10,1.46E-10,4.44E-08,1.98E-10
7.42E-08,1.59E-10,9.32E-08,7.32E-11,9.10E-08,3.36E-11,8.66E-10,1.46E-10,4.44E-08,1.83E-10
7.42E-08,1.34E-10,9.32E-08,8.85E-11,9.10E-08,1.83E-11,8.72E-10,1.65E-10,4.44E-08,1.62E-10
7.42E-08,1.25E-10,9.32E-08,8.54E-11,9.10E-08,4.58E-11,8.78E-10,1.59E-10,4.44E-08,2.53E-10
7.42E-08,1.68E-10,9.32E-08,1.01E-10,9.10E-08,3.66E-11,8.84E-10,1.77E-10,4.44E-08,2.26E-10
7.42E-08,2.14E-10,9.32E-08,1.28E-10,9.10E-08,3.66E-11,8.90E-10,1.53E-10,4.44E-08,4.79E-10
7.42E-08,2.04E-10,9.32E-08,1.22E-10,9.10E-08,2.44E-11,8.96E-10,1.80E-10,4.44E-08,2.56E-10
7.42E-08,2.04E-10,9.32E-08,1.13E-10,9.10E-08,3.36E-11,9.02E-10,1.77E-10,4.45E-08,2.84E-10
7.42E-08,2.04E-10,9.32E-08,1.10E-10,9.11E-08,4.27E-11,9.08E-10,2.04E-10,4.45E-08,2.11E-10
7.43E-08,2.08E-10,9.32E-08,1.07E-10,9.11E-08,4.88E-11,9.13E-10,1.92E-10,4.45E-08,3.48E-10
7.43E-08,2.69E-10,9.32E-08,1.25E-10,9.11E-08,5.49E-11,9.19E-10,1.95E-10,4.45E-08,3.54E-10
7.43E-08,5.52E-10,9.32E-08,1.46E-10,9.11E-08,4.88E-11,9.25E-10,2.08E-10,4.45E-08,3.85E-10
7.43E-08,2.29E-10,9.32E-08,1.37E-10,9.11E-08,4.88E-11,9.31E-10,2.20E-10,4.45E-08,4.00E-10
7.43E-08,2.56E-10,9.32E-08,1.56E-10,9.11E-08,6.10E-11,9.37E-10,1.95E-10,4.45E-08,3.81E-10
7.43E-08,2.72E-10,9.32E-08,1.34E-10,9.11E-08,7.32E-11,9.43E-10,2.29E-10,4.45E-08,4.06E-10
7.43E-08,3.23E-10,9.32E-08,1.46E-10,9.11E-08,9.16E-11,9.49E-10,2.32E-10,4.45E-08,4.06E-10
7.43E-08,3.54E-10,9.32E-08,1.43E-10,9.11E-08,8.24E-11,9.55E-10,2.72E-10,4.45E-08,4.43E-10
7.43E-08,3.81E-10,9.33E-08,1.74E-10,9.11E-08,8.24E-11,9.61E-10,2.62E-10,4.45E-08,4.97E-10
7.43E-08,6.47E-10,9.33E-08,1.28E-10,9.11E-08,9.16E-11,9.66E-10,2.35E-10,4.45E-08,4.91E-10
7.43E-08,3.66E-10,9.33E-08,1.46E-10,9.11E-08,1.25E-10,9.72E-10,2.59E-10,4.45E-08,5.07E-10
7.43E-08,5.25E-10,9.33E-08,1.37E-10,9.11E-08,1.19E-10,9.78E-10,4.00E-10,4.45E-08,5.83E-10
7.43E-08,3.54E-10,9.33E-08,1.95E-10,9.11E-08,1.37E-10,9.84E-10,3.08E-10,4.45E-08,5.83E-10
7.43E-08,3.08E-10,9.33E-08,1.43E-10,9.11E-08,1.43E-10,9.90E-10,3.11E-10,4.45E-08,6.41E-10
7.43E-08,3.72E-10,9.33E-08,1.43E-10,9.11E-08,1.56E-10,9.96E-10,2.84E-10,4.45E-08,6.07E-10
7.43E-08,4.06E-10,9.33E-08,1.56E-10,9.11E-08,1.92E-10,1.00E-09,3.23E-10,4.46E-08,6.01E-10
7.43E-08,2.99E-10,9.33E-08,1.71E-10,9.12E-08,1.83E-10,1.01E-09,3.60E-10,4.46E-08,5.37E-10
7.44E-08,7.23E-10,9.33E-08,1.71E-10,9.12E-08,1.98E-10,1.01E-09,3.36E-10,4.46E-08,5.62E-10
7.44E-08,4.88E-10,9.33E-08,1.71E-10,9.12E-08,2.26E-10,1.02E-09,3.33E-10,4.46E-08,6.23E-10
7.44E-08,6.90E-10,9.33E-08,1.89E-10,9.12E-08,2.44E-10,1.03E-09,3.17E-10,4.46E-08,6.59E-10
7.44E-08,7.45E-10,9.33E-08,1.89E-10,9.12E-08,2.72E-10,1.03E-09,3.54E-10,4.46E-08,1.00E-09
7.44E-08,5.37E-10,9.33E-08,1.80E-10,9.12E-08,2.53E-10,1.04E-09,3.75E-10,4.46E-08,7.72E-10
7.44E-08,7.17E-10,9.33E-08,2.14E-10,9.12E-08,2.90E-10,1.04E-09,3.75E-10,4.46E-08,8.30E-10
7.44E-08,5.58E-10,9.33E-08,1.77E-10,9.12E-08,3.85E-10,1.05E-09,4.03E-10,4.46E-08,1.10E-09
7.44E-08,4.82E-10,9.33E-08,2.20E-10,9.12E-08,2.41E-10,1.05E-09,4.52E-10,4.46E-08,9.55E-10
7.44E-08,8.09E-10,9.34E-08,2.47E-10,9.12E-08,3.02E-10,1.06E-09,4.73E-10,4.46E-08,8.58E-10
7.44E-08,8.09E-10,9.34E-08,3.23E-10,9.12E-08,3.30E-10,1.07E-09,4.70E-10,4.46E-08,1.15E-09
7.44E-08,8.51E-10,9.34E-08,2.59E-10,9.12E-08,3.72E-10,1.07E-09,5.37E-10,4.46E-08,1.32E-09
7.44E-08,8.70E-10,9.34E-08,2.72E-10,9.12E-08,3.66E-10,1.08E-09,4.94E-10,4.46E-08,1.21E-09
7.44E-08,8.88E-10,9.34E-08,2.69E-10,9.12E-08,3.48E-10,1.08E-09,5.04E-10,4.46E-08,1.23E-09
7.44E-08,7.57E-10,9.34E-08,3.08E-10,9.12E-08,4.09E-10,1.09E-09,5.86E-10,4.46E-08,1.18E-09
7.44E-08,8.58E-10,9.34E-08,3.78E-10,9.12E-08,5.04E-10,1.10E-09,7.75E-10,4.46E-08,1.25E-09
7.44E-08,8.36E-10,9.34E-08,3.97E-10,9.12E-08,4.94E-10,1.10E-09,8.27E-10,4.47E-08,1.22E-09
7.44E-08,8.06E-10,9.34E-08,4.00E-10,9.13E-08,5.86E-10,1.11E-09,7.54E-10,4.47E-08,1.19E-09
7.45E-08,8.85E-10,9.34E-08,4.33E-10,9.13E-08,6.07E-10,1.11E-09,8.79E-10,4.47E-08,1.21E-09
7.45E-08,8.54E-10,9.34E-08,4.39E-10,9.13E-08,6.56E-10,1.12E-09,9.49E-10,4.47E-08,1.11E-09
7.45E-08,8.70E-10,9.34E-08,4.94E-10,9.13E-08,7.08E-10,1.13E-09,1.01E-09,4.47E-08,1.11E-09
7.45E-08,8.45E-10,9.34E-08,4.76E-10,9.13E-08,8.39E-10,1.13E-09,1.23E-09,4.47E-08,1.20E-09
7.45E-08,8.70E-10,9.34E-08,5.28E-10,9.13E-08,8.94E-10,1.14E-09,1.26E-09,4.47E-08,1.62E-09
7.45E-08,9.40E-10,9.34E-08,5.34E-10,9.13E-08,9.52E-10,1.14E-09,1.21E-09,4.47E-08,1.16E-09
7.45E-08,8.88E-10,9.34E-08,5.92E-10,9.13E-08,1.12E-09,1.15E-09,1.07E-09,4.47E-08,1.29E-09
7.45E-08,8.97E-10,9.34E-08,6.41E-10,9.13E-08,1.19E-09,1.15E-09,1.16E-09,4.47E-08,1.25E-09
7.45E-08,1.08E-09,9.35E-08,6.96E-10,9.13E-08,1.19E-09,1.16E-09,1.17E-09,4.47E-08,1.28E-09
7.45E-08,9.98E-10,9.35E-08,6.71E-10,9.13E-08,1.17E-09,1.17E-09,1.18E-09,4.47E-08,1.43E-09
7.45E-08,8.58E-10,9.35E-08,7.20E-10,9.13E-08,1.18E-09,1.17E-09,1.20E-09,4.47E-08,1.87E-09
7.45E-08,9.98E-10,9.35E-08,7.57E-10,9.13E-08,1.35E-09,1.18E-09,1.24E-09,4.47E-08,1.78E-09
7.45E-08,8.58E-10,9.35E-08,9.55E-10,9.13E-08,1.39E-09,1.18E-09,1.26E-09,4.47E-08,1.51E-09
