V1,I1,V2,I2,I3,I4,I5
-1.11E-01,-1.83E-11,-1.11E+00,-8.51E-10,-1.73E-09,-5.71E-10,1.19E-10
-1.09E-01,-2.44E-11,-1.09E+00,-9.09E-10,-1.86E-09,-5.46E-10,1.22E-10
-1.07E-01,-1.53E-11,-1.07E+00,-8.36E-10,-1.82E-09,-3.85E-10,1.25E-10
-1.06E-01,-3.05E-12,-1.06E+00,-9.55E-10,-1.76E-09,-3.97E-10,2.62E-10
-1.04E-01,-1.53E-11,-1.04E+00,-1.09E-09,-1.58E-09,-4.18E-10,2.20E-10
-1.03E-01,-2.14E-11,-1.03E+00,-1.14E-09,-1.54E-09,-4.21E-10,2.11E-10
-1.01E-01,-2.14E-11,-1.01E+00,-1.36E-09,-1.64E-09,-4.06E-10,1.59E-10
-9.96E-02,-9.16E-12,-9.96E-01,-1.00E-09,-1.68E-09,-3.91E-10,1.37E-10
-9.80E-02,-1.83E-11,-9.80E-01,-9.89E-10,-1.63E-09,-4.09E-10,1.25E-10
-9.65E-02,-2.14E-11,-9.65E-01,-1.03E-09,-1.60E-09,-3.66E-10,1.25E-10
-9.49E-02,-1.22E-11,-9.49E-01,-1.00E-09,-1.45E-09,-3.36E-10,1.22E-10
-9.33E-02,-6.10E-12,-9.33E-01,-7.57E-10,-1.23E-09,-2.78E-10,1.19E-10
-9.18E-02,9.31E-17,-9.18E-01,-6.62E-10,-9.67E-10,-3.11E-10,4.43E-10
-9.02E-02,-6.10E-12,-9.02E-01,-5.71E-10,-6.65E-10,-2.44E-10,2.32E-10
-8.86E-02,3.05E-12,-8.86E-01,-5.58E-10,-8.00E-10,-2.84E-10,2.20E-10
-8.71E-02,6.10E-12,-8.71E-01,-6.04E-10,-8.18E-10,-2.78E-10,1.89E-10
-8.55E-02,-3.05E-12,-8.55E-01,-4.70E-10,-6.96E-10,-2.99E-10,1.56E-10
-8.39E-02,6.10E-12,-8.39E-01,-5.28E-10,-7.23E-10,-2.81E-10,1.22E-10
-8.24E-02,9.31E-17,-8.24E-01,-5.10E-10,-6.07E-10,-2.62E-10,1.28E-10
-8.08E-02,-3.05E-12,-8.08E-01,-5.37E-10,-5.77E-10,-2.20E-10,1.22E-10
-7.92E-02,-3.05E-12,-7.92E-01,-5.37E-10,-6.38E-10,-5.49E-11,1.31E-10
-7.76E-02,9.16E-12,-7.76E-01,-5.13E-10,-5.40E-10,-7.32E-11,4.30E-10
-7.61E-02,3.05E-12,-7.61E-01,-5.28E-10,-2.29E-10,-6.41E-11,2.44E-10
-7.45E-02,-6.10E-12,-7.45E-01,-4.79E-10,-3.66E-10,-7.93E-11,2.11E-10
-7.29E-02,-3.05E-12,-7.29E-01,-4.67E-10,-3.60E-10,-1.34E-10,1.83E-10
-7.14E-02,9.31E-17,-7.14E-01,-3.48E-10,-3.72E-10,-1.31E-10,1.68E-10
-6.98E-02,9.16E-12,-6.98E-01,-3.75E-10,-4.39E-10,-1.25E-10,1.40E-10
-6.82E-02,9.31E-17,-6.82E-01,-3.85E-10,-4.06E-10,-1.07E-10,1.53E-10
-6.67E-02,9.31E-17,-6.67E-01,-4.12E-10,-3.88E-10,-8.54E-11,1.46E-10
-6.51E-02,2.14E-11,-6.51E-01,-3.88E-10,-3.94E-10,-9.16E-11,1.46E-10
-6.35E-02,9.16E-12,-6.35E-01,-3.60E-10,-3.69E-10,-6.10E-12,1.28E-10
-6.20E-02,3.05E-12,-6.20E-01,-4.00E-10,-6.41E-11,-1.83E-11,4.33E-10
-6.04E-02,1.22E-11,-6.04E-01,-2.59E-10,-1.68E-10,-3.05E-11,2.32E-10
-5.88E-02,3.05E-12,-5.88E-01,-2.32E-10,-1.77E-10,-5.49E-11,1.89E-10
-5.73E-02,9.31E-17,-5.73E-01,-9.16E-12,-1.95E-10,-6.10E-11,1.62E-10
-5.57E-02,-3.05E-12,-5.57E-01,-1.68E-10,-2.08E-10,-4.88E-11,1.43E-10
-5.41E-02,-3.05E-12,-5.41E-01,-1.80E-10,-2.08E-10,-5.19E-11,1.25E-10
-5.25E-02,-6.10E-12,-5.25E-01,-2.26E-10,-2.01E-10,-5.49E-11,1.34E-10
-5.10E-02,2.14E-11,-5.10E-01,-2.20E-10,-1.89E-10,2.14E-10,1.28E-10
-4.94E-02,9.16E-12,-4.94E-01,-2.53E-10,-1.37E-10,8.54E-11,1.37E-10
-4.78E-02,1.22E-11,-4.78E-01,-2.26E-10,-8.85E-11,7.63E-11,2.56E-10
-4.63E-02,1.22E-11,-4.63E-01,-2.14E-10,3.05E-11,4.58E-11,2.20E-10
-4.47E-02,6.10E-12,-4.47E-01,-2.04E-10,2.14E-11,3.66E-11,2.20E-10
-4.31E-02,1.22E-11,-4.31E-01,2.14E-11,1.53E-11,1.83E-11,1.74E-10
-4.16E-02,1.53E-11,-4.16E-01,-7.32E-11,-6.10E-12,3.36E-11,1.56E-10
-4.00E-02,2.14E-11,-4.00E-01,-7.63E-11,-2.14E-11,3.97E-11,1.40E-10
-3.84E-02,1.53E-11,-3.84E-01,-1.31E-10,-2.44E-11,3.05E-11,1.31E-10
-3.69E-02,1.83E-11,-3.69E-01,-1.19E-10,-2.14E-11,3.14E-10,1.31E-10
-3.53E-02,1.83E-11,-3.53E-01,-1.10E-10,-9.16E-12,1.68E-10,1.31E-10
-3.37E-02,2.14E-11,-3.37E-01,-7.93E-11,1.83E-11,1.46E-10,2.72E-10
-3.22E-02,1.53E-11,-3.22E-01,-1.16E-10,1.31E-10,1.43E-10,2.41E-10
-3.06E-02,2.14E-11,-3.06E-01,-1.19E-10,1.07E-10,1.13E-10,2.14E-10
-2.90E-02,-3.05E-12,-2.90E-01,2.08E-10,1.22E-10,9.77E-11,1.80E-10
-2.75E-02,1.22E-11,-2.75E-01,6.10E-11,8.85E-11,9.46E-11,1.50E-10
-2.59E-02,9.16E-12,-2.59E-01,6.71E-11,7.02E-11,1.10E-10,1.43E-10
-2.43E-02,2.14E-11,-2.43E-01,6.10E-11,7.02E-11,1.07E-10,1.46E-10
-2.27E-02,1.53E-11,-2.27E-01,3.05E-11,6.10E-11,1.07E-10,1.37E-10
-2.12E-02,1.83E-11,-2.12E-01,2.75E-11,6.71E-11,2.44E-10,1.34E-10
-1.96E-02,2.44E-11,-1.96E-01,2.14E-11,8.54E-11,2.04E-10,4.12E-10
-1.80E-02,2.14E-11,-1.80E-01,6.41E-11,3.45E-10,1.77E-10,2.44E-10
-1.65E-02,3.05E-11,-1.65E-01,6.71E-11,1.92E-10,1.59E-10,2.29E-10
-1.49E-02,1.53E-11,-1.49E-01,6.71E-11,1.77E-10,1.34E-10,1.83E-10
-1.33E-02,2.14E-11,-1.33E-01,3.17E-10,1.43E-10,1.37E-10,1.65E-10
-1.18E-02,2.14E-11,-1.18E-01,1.68E-10,1.28E-10,1.46E-10,1.43E-10
-1.02E-02,2.14E-11,-1.02E-01,1.50E-10,1.16E-10,1.46E-10,1.40E-10
-8.63E-03,2.75E-11,-8.63E-02,1.46E-10,1.31E-10,1.65E-10,1.50E-10
-7.06E-03,3.66E-11,-7.06E-02,1.46E-10,1.22E-10,2.44E-10,1.34E-10
-5.49E-03,3.66E-11,-5.49E-02,1.40E-10,1.31E-10,2.53E-10,4.15E-10
-3.92E-03,3.66E-11,-3.92E-02,1.68E-10,3.78E-10,2.38E-10,2.44E-10
-2.35E-03,3.05E-11,-2.35E-02,1.68E-10,2.59E-10,2.11E-10,2.17E-10
-7.84E-04,3.05E-11,-7.84E-03,2.11E-10,2.35E-10,1.92E-10,2.11E-10
