t1,x1,y1,t2,x2,y2
6.76E-01,6.19E-01,-3.15E-01,7.09E-01,6.20E-01,-3.17E-01
6.84E-01,6.25E-01,-3.24E-01,7.17E-01,6.28E-01,-3.25E-01
6.92E-01,6.36E-01,-3.31E-01,7.26E-01,6.39E-01,-3.32E-01
7.01E-01,6.51E-01,-3.40E-01,7.34E-01,6.54E-01,-3.39E-01
7.09E-01,6.67E-01,-3.46E-01,7.42E-01,6.71E-01,-3.46E-01
7.17E-01,6.85E-01,-3.53E-01,7.51E-01,6.87E-01,-3.52E-01
7.26E-01,7.00E-01,-3.57E-01,7.59E-01,7.03E-01,-3.56E-01
7.34E-01,7.15E-01,-3.59E-01,7.67E-01,7.18E-01,-3.58E-01
7.42E-01,7.31E-01,-3.60E-01,7.76E-01,7.35E-01,-3.58E-01
7.51E-01,7.45E-01,-3.57E-01,7.84E-01,7.50E-01,-3.55E-01
7.59E-01,7.62E-01,-3.53E-01,7.92E-01,7.69E-01,-3.50E-01
7.67E-01,7.78E-01,-3.46E-01,8.01E-01,7.84E-01,-3.43E-01
7.76E-01,7.93E-01,-3.38E-01,8.09E-01,7.98E-01,-3.34E-01
7.84E-01,8.06E-01,-3.29E-01,8.17E-01,8.12E-01,-3.24E-01
7.92E-01,8.18E-01,-3.17E-01,8.26E-01,8.23E-01,-3.12E-01
8.01E-01,8.27E-01,-3.04E-01,8.34E-01,8.32E-01,-2.99E-01
8.09E-01,8.36E-01,-2.91E-01,8.43E-01,8.40E-01,-2.85E-01
8.17E-01,8.42E-01,-2.77E-01,8.51E-01,8.46E-01,-2.71E-01
8.26E-01,8.47E-01,-2.63E-01,8.59E-01,8.49E-01,-2.57E-01
8.34E-01,8.50E-01,-2.49E-01,8.68E-01,8.52E-01,-2.43E-01
8.43E-01,8.52E-01,-2.35E-01,8.76E-01,8.53E-01,-2.29E-01
8.51E-01,8.50E-01,-2.21E-01,8.84E-01,8.52E-01,-2.16E-01
8.59E-01,8.48E-01,-2.09E-01,8.93E-01,8.49E-01,-2.03E-01
8.68E-01,8.44E-01,-1.97E-01,9.01E-01,8.46E-01,-1.91E-01
8.76E-01,8.39E-01,-1.86E-01,9.09E-01,8.41E-01,-1.80E-01
8.84E-01,8.33E-01,-1.75E-01,9.18E-01,8.35E-01,-1.70E-01
8.93E-01,8.27E-01,-1.66E-01,9.26E-01,8.29E-01,-1.61E-01
9.01E-01,8.20E-01,-1.58E-01,9.34E-01,8.23E-01,-1.54E-01
9.09E-01,8.13E-01,-1.51E-01,9.43E-01,8.14E-01,-1.46E-01
9.18E-01,8.05E-01,-1.45E-01,9.51E-01,8.07E-01,-1.41E-01
9.26E-01,7.95E-01,-1.38E-01,9.59E-01,7.99E-01,-1.35E-01
9.34E-01,7.88E-01,-1.34E-01,9.68E-01,7.91E-01,-1.31E-01
9.43E-01,7.80E-01,-1.30E-01,9.76E-01,7.82E-01,-1.27E-01
9.51E-01,7.71E-01,-1.27E-01,9.84E-01,7.75E-01,-1.24E-01
9.59E-01,7.64E-01,-1.25E-01,9.93E-01,7.67E-01,-1.22E-01
9.68E-01,7.52E-01,-1.20E-01,1.00E+00,7.57E-01,-1.20E-01
9.76E-01,7.44E-01,-1.19E-01,1.01E+00,7.52E-01,-1.20E-01
9.84E-01,7.38E-01,-1.19E-01,1.02E+00,7.44E-01,-1.19E-01
9.93E-01,7.34E-01,-1.19E-01,1.03E+00,7.38E-01,-1.19E-01
1.00E+00,7.18E-01,-1.19E-01,1.03E+00,7.29E-01,-1.20E-01
1.01E+00,7.10E-01,-1.21E-01,1.04E+00,7.19E-01,-1.22E-01
1.02E+00,7.02E-01,-1.23E-01,1.05E+00,7.10E-01,-1.24E-01
1.03E+00,6.94E-01,-1.26E-01,1.06E+00,7.00E-01,-1.27E-01
1.03E+00,6.85E-01,-1.29E-01,1.07E+00,6.93E-01,-1.31E-01
1.04E+00,6.77E-01,-1.34E-01,1.08E+00,6.86E-01,-1.35E-01
1.05E+00,6.69E-01,-1.39E-01,1.08E+00,6.80E-01,-1.41E-01
1.06E+00,6.61E-01,-1.45E-01,1.09E+00,6.71E-01,-1.46E-01
1.07E+00,6.53E-01,-1.51E-01,1.10E+00,6.64E-01,-1.53E-01
1.08E+00,6.45E-01,-1.58E-01,1.11E+00,6.55E-01,-1.59E-01
1.08E+00,6.38E-01,-1.66E-01,1.12E+00,6.49E-01,-1.67E-01
1.09E+00,6.31E-01,-1.75E-01,1.13E+00,6.38E-01,-1.75E-01
1.10E+00,6.25E-01,-1.86E-01,1.13E+00,6.30E-01,-1.85E-01
1.11E+00,6.19E-01,-1.97E-01,1.14E+00,6.26E-01,-1.96E-01
1.12E+00,6.15E-01,-2.11E-01,1.15E+00,6.20E-01,-2.09E-01
1.13E+00,6.11E-01,-2.23E-01,1.16E+00,6.18E-01,-2.22E-01
1.13E+00,6.09E-01,-2.38E-01,1.17E+00,6.16E-01,-2.36E-01
1.14E+00,6.08E-01,-2.53E-01,1.18E+00,6.14E-01,-2.51E-01
1.15E+00,6.10E-01,-2.68E-01,1.18E+00,6.16E-01,-2.66E-01
1.16E+00,6.13E-01,-2.83E-01,1.19E+00,6.18E-01,-2.81E-01
1.17E+00,6.18E-01,-2.98E-01,1.20E+00,6.23E-01,-2.96E-01
1.18E+00,6.26E-01,-3.13E-01,1.21E+00,6.31E-01,-3.11E-01
1.18E+00,6.34E-01,-3.26E-01,1.22E+00,6.38E-01,-3.24E-01
1.19E+00,6.45E-01,-3.38E-01,1.23E+00,6.48E-01,-3.36E-01
,,,1.23E+00,6.60E-01,-3.47E-01
