t1,x1,y1,t2,x2,y2,t3,x3,y3,t4,x4,y4
6.67E-01,6.12E-01,-3.15E-01,7.26E-01,6.20E-01,-3.21E-01,6.51E-01,6.02E-01,-3.15E-01,6.76E-01,6.03E-01,-3.07E-01
6.76E-01,6.19E-01,-3.22E-01,7.34E-01,6.27E-01,-3.27E-01,6.59E-01,6.15E-01,-3.23E-01,6.84E-01,6.09E-01,-3.15E-01
6.84E-01,6.30E-01,-3.29E-01,7.42E-01,6.41E-01,-3.35E-01,6.67E-01,6.29E-01,-3.31E-01,6.92E-01,6.13E-01,-3.18E-01
6.92E-01,6.45E-01,-3.37E-01,7.51E-01,6.56E-01,-3.43E-01,6.76E-01,6.46E-01,-3.37E-01,7.01E-01,6.33E-01,-3.29E-01
7.01E-01,6.59E-01,-3.43E-01,7.59E-01,6.70E-01,-3.47E-01,6.84E-01,6.61E-01,-3.42E-01,7.09E-01,6.49E-01,-3.36E-01
7.09E-01,6.75E-01,-3.48E-01,7.67E-01,6.89E-01,-3.54E-01,6.92E-01,6.78E-01,-3.47E-01,7.17E-01,6.62E-01,-3.40E-01
7.17E-01,6.91E-01,-3.52E-01,7.76E-01,7.01E-01,-3.56E-01,7.01E-01,6.92E-01,-3.49E-01,7.26E-01,6.76E-01,-3.45E-01
7.26E-01,7.08E-01,-3.56E-01,7.84E-01,7.20E-01,-3.59E-01,7.09E-01,7.07E-01,-3.50E-01,7.34E-01,6.94E-01,-3.49E-01
7.34E-01,7.25E-01,-3.57E-01,7.92E-01,7.36E-01,-3.58E-01,7.17E-01,7.25E-01,-3.47E-01,7.42E-01,7.10E-01,-3.50E-01
7.42E-01,7.41E-01,-3.54E-01,8.01E-01,7.53E-01,-3.55E-01,7.26E-01,7.41E-01,-3.43E-01,7.51E-01,7.28E-01,-3.49E-01
7.51E-01,7.60E-01,-3.50E-01,8.09E-01,7.69E-01,-3.49E-01,7.34E-01,7.56E-01,-3.36E-01,7.59E-01,7.43E-01,-3.45E-01
7.59E-01,7.75E-01,-3.43E-01,8.17E-01,7.84E-01,-3.42E-01,7.42E-01,7.70E-01,-3.28E-01,7.67E-01,7.60E-01,-3.39E-01
7.67E-01,7.89E-01,-3.35E-01,8.26E-01,7.98E-01,-3.33E-01,7.51E-01,7.84E-01,-3.17E-01,7.76E-01,7.75E-01,-3.31E-01
7.76E-01,8.02E-01,-3.24E-01,8.34E-01,8.11E-01,-3.22E-01,7.59E-01,7.94E-01,-3.06E-01,7.84E-01,7.88E-01,-3.21E-01
7.84E-01,8.14E-01,-3.13E-01,8.43E-01,8.22E-01,-3.10E-01,7.67E-01,8.04E-01,-2.94E-01,7.92E-01,8.00E-01,-3.10E-01
7.92E-01,8.24E-01,-3.00E-01,8.51E-01,8.31E-01,-2.97E-01,7.76E-01,8.12E-01,-2.80E-01,8.01E-01,8.11E-01,-2.98E-01
8.01E-01,8.32E-01,-2.87E-01,8.59E-01,8.39E-01,-2.83E-01,7.84E-01,8.18E-01,-2.66E-01,8.09E-01,8.20E-01,-2.85E-01
8.09E-01,8.38E-01,-2.73E-01,8.68E-01,8.45E-01,-2.69E-01,7.92E-01,8.22E-01,-2.52E-01,8.17E-01,8.26E-01,-2.70E-01
