t1,x1,y1,t2,x2,y2,t3,x3,y3,t4,x4,y4
8.17E-01,8.43E-01,-2.58E-01,8.76E-01,8.49E-01,-2.54E-01,8.01E-01,8.27E-01,-2.38E-01,8.26E-01,8.31E-01,-2.56E-01
8.26E-01,8.46E-01,-2.44E-01,8.84E-01,8.52E-01,-2.41E-01,8.09E-01,8.26E-01,-2.25E-01,8.34E-01,8.35E-01,-2.43E-01
8.34E-01,8.47E-01,-2.31E-01,8.93E-01,8.51E-01,-2.27E-01,8.17E-01,8.26E-01,-2.12E-01,8.43E-01,8.37E-01,-2.28E-01
8.43E-01,8.48E-01,-2.17E-01,9.01E-01,8.50E-01,-2.13E-01,8.26E-01,8.24E-01,-1.99E-01,8.51E-01,8.37E-01,-2.15E-01
8.51E-01,8.45E-01,-2.04E-01,9.09E-01,8.48E-01,-2.01E-01,8.34E-01,8.22E-01,-1.87E-01,8.59E-01,8.35E-01,-2.02E-01
8.59E-01,8.42E-01,-1.92E-01,9.18E-01,8.44E-01,-1.89E-01,8.43E-01,8.17E-01,-1.76E-01,8.68E-01,8.33E-01,-1.89E-01
8.68E-01,8.37E-01,-1.81E-01,9.26E-01,8.38E-01,-1.78E-01,8.51E-01,8.12E-01,-1.67E-01,8.76E-01,8.29E-01,-1.78E-01
8.76E-01,8.32E-01,-1.71E-01,9.34E-01,8.32E-01,-1.68E-01,8.59E-01,8.05E-01,-1.57E-01,8.84E-01,8.23E-01,-1.67E-01
8.84E-01,8.26E-01,-1.61E-01,9.43E-01,8.26E-01,-1.59E-01,8.68E-01,7.98E-01,-1.48E-01,8.93E-01,8.18E-01,-1.58E-01
8.93E-01,8.19E-01,-1.53E-01,9.51E-01,8.20E-01,-1.52E-01,8.76E-01,7.92E-01,-1.41E-01,9.01E-01,8.11E-01,-1.50E-01
9.01E-01,8.11E-01,-1.45E-01,9.59E-01,8.10E-01,-1.44E-01,8.84E-01,7.84E-01,-1.35E-01,9.09E-01,8.04E-01,-1.42E-01
9.09E-01,8.03E-01,-1.39E-01,9.68E-01,8.03E-01,-1.38E-01,8.93E-01,7.76E-01,-1.29E-01,9.18E-01,7.97E-01,-1.35E-01
9.18E-01,7.96E-01,-1.34E-01,9.76E-01,7.95E-01,-1.33E-01,9.01E-01,7.67E-01,-1.24E-01,9.26E-01,7.89E-01,-1.30E-01
9.26E-01,7.89E-01,-1.29E-01,9.84E-01,7.87E-01,-1.28E-01,9.09E-01,7.59E-01,-1.20E-01,9.34E-01,7.81E-01,-1.24E-01
9.34E-01,7.81E-01,-1.25E-01,9.93E-01,7.78E-01,-1.24E-01,9.18E-01,7.52E-01,-1.16E-01,9.43E-01,7.73E-01,-1.20E-01
9.43E-01,7.73E-01,-1.22E-01,1.00E+00,7.71E-01,-1.22E-01,9.26E-01,7.46E-01,-1.14E-01,9.51E-01,7.65E-01,-1.16E-01
9.51E-01,7.65E-01,-1.19E-01,1.01E+00,7.63E-01,-1.20E-01,9.34E-01,7.38E-01,-1.12E-01,9.59E-01,7.58E-01,-1.14E-01
9.59E-01,7.57E-01,-1.17E-01,1.02E+00,7.54E-01,-1.18E-01,9.43E-01,7.30E-01,-1.11E-01,9.68E-01,7.50E-01,-1.12E-01
9.68E-01,7.50E-01,-1.16E-01,1.03E+00,7.49E-01,-1.17E-01,9.51E-01,7.22E-01,-1.10E-01,9.76E-01,7.43E-01,-1.11E-01
9.76E-01,7.41E-01,-1.15E-01,1.03E+00,7.42E-01,-1.17E-01,9.59E-01,7.15E-01,-1.10E-01,9.84E-01,7.34E-01,-1.10E-01
9.84E-01,7.35E-01,-1.15E-01,1.04E+00,7.35E-01,-1.17E-01,9.68E-01,7.12E-01,-1.12E-01,9.93E-01,7.28E-01,-1.10E-01
9.93E-01,7.28E-01,-1.16E-01,1.05E+00,7.25E-01,-1.19E-01,9.76E-01,7.04E-01,-1.13E-01,1.00E+00,7.22E-01,-1.10E-01
1.00E+00,7.17E-01,-1.17E-01,1.06E+00,7.15E-01,-1.20E-01,9.84E-01,6.92E-01,-1.14E-01,1.01E+00,7.14E-01,-1.12E-01
1.01E+00,7.10E-01,-1.20E-01,1.07E+00,7.06E-01,-1.22E-01,9.93E-01,6.85E-01,-1.17E-01,1.02E+00,7.06E-01,-1.14E-01
1.02E+00,7.01E-01,-1.22E-01,1.08E+00,7.01E-01,-1.26E-01,1.00E+00,6.77E-01,-1.21E-01,1.03E+00,6.96E-01,-1.16E-01
1.03E+00,6.95E-01,-1.26E-01,1.08E+00,6.90E-01,-1.29E-01,1.01E+00,6.71E-01,-1.25E-01,1.03E+00,6.86E-01,-1.19E-01
1.03E+00,6.86E-01,-1.30E-01,1.09E+00,6.81E-01,-1.33E-01,1.02E+00,6.62E-01,-1.29E-01,1.04E+00,6.79E-01,-1.23E-01
1.04E+00,6.79E-01,-1.35E-01,1.10E+00,6.74E-01,-1.38E-01,1.03E+00,6.55E-01,-1.35E-01,1.05E+00,6.71E-01,-1.27E-01
1.05E+00,6.72E-01,-1.40E-01,1.11E+00,6.66E-01,-1.44E-01,1.03E+00,6.48E-01,-1.41E-01,1.06E+00,6.67E-01,-1.34E-01
1.06E+00,6.64E-01,-1.47E-01,1.12E+00,6.61E-01,-1.52E-01,1.04E+00,6.40E-01,-1.47E-01,1.07E+00,6.56E-01,-1.39E-01
1.07E+00,6.57E-01,-1.54E-01,1.13E+00,6.55E-01,-1.59E-01,1.05E+00,6.35E-01,-1.55E-01,1.08E+00,6.48E-01,-1.45E-01
1.08E+00,6.49E-01,-1.61E-01,1.13E+00,6.44E-01,-1.66E-01,1.06E+00,6.28E-01,-1.63E-01,1.08E+00,6.42E-01,-1.53E-01
1.08E+00,6.41E-01,-1.69E-01,1.14E+00,6.36E-01,-1.75E-01,1.07E+00,6.17E-01,-1.71E-01,1.09E+00,6.35E-01,-1.61E-01
1.09E+00,6.34E-01,-1.78E-01,1.15E+00,6.27E-01,-1.84E-01,1.08E+00,6.11E-01,-1.81E-01,1.10E+00,6.26E-01,-1.70E-01
1.10E+00,6.27E-01,-1.88E-01,1.16E+00,6.20E-01,-1.95E-01,1.08E+00,6.02E-01,-1.91E-01,1.11E+00,6.17E-01,-1.79E-01
1.11E+00,6.20E-01,-1.99E-01,1.17E+00,6.16E-01,-2.07E-01,1.09E+00,5.95E-01,-2.02E-01,1.12E+00,6.11E-01,-1.89E-01
1.12E+00,6.13E-01,-2.12E-01,1.18E+00,6.12E-01,-2.20E-01,1.10E+00,5.88E-01,-2.14E-01,1.13E+00,6.06E-01,-2.01E-01
1.13E+00,6.09E-01,-2.25E-01,1.18E+00,6.10E-01,-2.35E-01,1.11E+00,5.84E-01,-2.27E-01,1.13E+00,6.01E-01,-2.14E-01
1.13E+00,6.07E-01,-2.39E-01,1.19E+00,6.10E-01,-2.50E-01,1.12E+00,5.85E-01,-2.41E-01,1.14E+00,5.99E-01,-2.27E-01
1.14E+00,6.07E-01,-2.55E-01,1.20E+00,6.10E-01,-2.64E-01,1.13E+00,5.84E-01,-2.54E-01,1.15E+00,5.98E-01,-2.42E-01
1.15E+00,6.08E-01,-2.69E-01,1.21E+00,6.14E-01,-2.81E-01,1.13E+00,5.88E-01,-2.69E-01,1.16E+00,5.99E-01,-2.57E-01
1.16E+00,6.13E-01,-2.85E-01,1.22E+00,6.18E-01,-2.95E-01,1.14E+00,5.92E-01,-2.84E-01,1.17E+00,6.00E-01,-2.72E-01
1.17E+00,6.18E-01,-2.99E-01,1.23E+00,6.26E-01,-3.10E-01,1.15E+00,5.98E-01,-2.98E-01,1.18E+00,6.05E-01,-2.86E-01
1.18E+00,6.27E-01,-3.14E-01,1.23E+00,6.33E-01,-3.23E-01,1.16E+00,6.07E-01,-3.12E-01,1.18E+00,6.12E-01,-3.01E-01
1.18E+00,6.34E-01,-3.27E-01,1.24E+00,6.43E-01,-3.35E-01,1.17E+00,6.16E-01,-3.24E-01,1.19E+00,6.20E-01,-3.14E-01
1.19E+00,6.44E-01,-3.39E-01,1.25E+00,6.55E-01,-3.46E-01,1.18E+00,6.27E-01,-3.35E-01,1.20E+00,6.29E-01,-3.26E-01
1.20E+00,6.57E-01,-3.49E-01,,,,1.18E+00,6.41E-01,-3.46E-01,1.21E+00,6.39E-01,-3.37E-01
,,,,,,,,,1.22E+00,6.53E-01,-3.47E-01
,,,,,,,,,1.23E+00,6.68E-01,-3.56E-01
